t,ap,f107_sfu
2000-07-12T00:00:00Z,22.0,314.6
2000-07-12T03:00:00Z,12.0,314.6
2000-07-12T06:00:00Z,5.0,314.6
2000-07-12T09:00:00Z,9.0,314.6
2000-07-12T12:00:00Z,3.0,314.6
2000-07-12T15:00:00Z,6.0,314.6
2000-07-12T18:00:00Z,6.0,314.6
2000-07-12T21:00:00Z,6.0,314.6
2000-07-13T00:00:00Z,4.0,231.9
2000-07-13T03:00:00Z,7.0,231.9
2000-07-13T06:00:00Z,9.0,231.9
2000-07-13T09:00:00Z,67.0,231.9
2000-07-13T12:00:00Z,132.0,231.9
2000-07-13T15:00:00Z,94.0,231.9
2000-07-13T18:00:00Z,12.0,231.9
2000-07-13T21:00:00Z,15.0,231.9
2000-07-14T00:00:00Z,15.0,203.9
2000-07-14T03:00:00Z,15.0,203.9
2000-07-14T06:00:00Z,18.0,203.9
2000-07-14T09:00:00Z,27.0,203.9
2000-07-14T12:00:00Z,27.0,203.9
2000-07-14T15:00:00Z,154.0,203.9
2000-07-14T18:00:00Z,111.0,203.9
2000-07-14T21:00:00Z,39.0,203.9
2000-07-15T00:00:00Z,15.0,213.1
2000-07-15T03:00:00Z,22.0,213.1
2000-07-15T06:00:00Z,39.0,213.1
2000-07-15T09:00:00Z,32.0,213.1
2000-07-15T12:00:00Z,207.0,213.1
2000-07-15T15:00:00Z,300.0,213.1
2000-07-15T18:00:00Z,400.0,213.1
2000-07-15T21:00:00Z,300.0,213.1
2000-07-16T00:00:00Z,179.0,218.9
2000-07-16T03:00:00Z,80.0,218.9
2000-07-16T06:00:00Z,32.0,218.9
2000-07-16T09:00:00Z,39.0,218.9
2000-07-16T12:00:00Z,39.0,218.9
2000-07-16T15:00:00Z,15.0,218.9
2000-07-16T18:00:00Z,7.0,218.9
2000-07-16T21:00:00Z,6.0,218.9
2000-07-17T00:00:00Z,15.0,228.3
2000-07-17T03:00:00Z,12.0,228.3
2000-07-17T06:00:00Z,9.0,228.3
2000-07-17T09:00:00Z,9.0,228.3
2000-07-17T12:00:00Z,9.0,228.3
2000-07-17T15:00:00Z,5.0,228.3
2000-07-17T18:00:00Z,4.0,228.3
2000-07-17T21:00:00Z,5.0,228.3
2000-07-18T00:00:00Z,6.0,261.9
2000-07-18T03:00:00Z,9.0,261.9
2000-07-18T06:00:00Z,9.0,261.9
2000-07-18T09:00:00Z,5.0,261.9
2000-07-18T12:00:00Z,15.0,261.9
2000-07-18T15:00:00Z,15.0,261.9
2000-07-18T18:00:00Z,15.0,261.9
2000-07-18T21:00:00Z,18.0,261.9
