t,ap,f107_sfu
2006-12-12T00:00:00Z,15.0,104.2
2006-12-12T03:00:00Z,56.0,104.2
2006-12-12T06:00:00Z,22.0,104.2
2006-12-12T09:00:00Z,9.0,104.2
2006-12-12T12:00:00Z,32.0,104.2
2006-12-12T15:00:00Z,27.0,104.2
2006-12-12T18:00:00Z,27.0,104.2
2006-12-12T21:00:00Z,27.0,104.2
2006-12-13T00:00:00Z,18.0,94.6
2006-12-13T03:00:00Z,18.0,94.6
2006-12-13T06:00:00Z,4.0,94.6
2006-12-13T09:00:00Z,3.0,94.6
2006-12-13T12:00:00Z,2.0,94.6
2006-12-13T15:00:00Z,4.0,94.6
2006-12-13T18:00:00Z,4.0,94.6
2006-12-13T21:00:00Z,12.0,94.6
2006-12-14T00:00:00Z,15.0,94.4
2006-12-14T03:00:00Z,9.0,94.4
2006-12-14T06:00:00Z,7.0,94.4
2006-12-14T09:00:00Z,7.0,94.4
2006-12-14T12:00:00Z,48.0,94.4
2006-12-14T15:00:00Z,56.0,94.4
2006-12-14T18:00:00Z,56.0,94.4
2006-12-14T21:00:00Z,179.0,94.4
2006-12-15T00:00:00Z,236.0,88.2
2006-12-15T03:00:00Z,179.0,88.2
2006-12-15T06:00:00Z,111.0,88.2
2006-12-15T09:00:00Z,67.0,88.2
2006-12-15T12:00:00Z,80.0,88.2
2006-12-15T15:00:00Z,27.0,88.2
2006-12-15T18:00:00Z,27.0,88.2
2006-12-15T21:00:00Z,22.0,88.2
2006-12-16T00:00:00Z,15.0,82.6
2006-12-16T03:00:00Z,18.0,82.6
2006-12-16T06:00:00Z,5.0,82.6
2006-12-16T09:00:00Z,5.0,82.6
2006-12-16T12:00:00Z,3.0,82.6
2006-12-16T15:00:00Z,12.0,82.6
2006-12-16T18:00:00Z,18.0,82.6
2006-12-16T21:00:00Z,18.0,82.6
2006-12-17T00:00:00Z,15.0,82.1
2006-12-17T03:00:00Z,5.0,82.1
2006-12-17T06:00:00Z,4.0,82.1
2006-12-17T09:00:00Z,2.0,82.1
2006-12-17T12:00:00Z,3.0,82.1
2006-12-17T15:00:00Z,5.0,82.1
2006-12-17T18:00:00Z,12.0,82.1
2006-12-17T21:00:00Z,4.0,82.1
2006-12-18T00:00:00Z,6.0,75.4
2006-12-18T03:00:00Z,9.0,75.4
2006-12-18T06:00:00Z,4.0,75.4
2006-12-18T09:00:00Z,7.0,75.4
2006-12-18T12:00:00Z,6.0,75.4
2006-12-18T15:00:00Z,12.0,75.4
2006-12-18T18:00:00Z,9.0,75.4
2006-12-18T21:00:00Z,32.0,75.4
