t,alt_km,lat_deg,lon_deg,density_kg_m3
2022-02-03T00:00:00Z,490.0,0.00,-180.00,1.171932e-12
2022-02-03T01:00:00Z,490.0,-47.45,-157.50,1.167565e-12
2022-02-03T02:00:00Z,490.0,58.08,-135.00,1.133019e-12
2022-02-03T03:00:00Z,490.0,-23.66,-112.50,1.297146e-12
2022-02-03T04:00:00Z,490.0,-29.12,-90.00,1.375716e-12
2022-02-03T05:00:00Z,490.0,59.31,-67.50,1.282524e-12
2022-02-03T06:00:00Z,490.0,-43.49,-45.00,1.455863e-12
2022-02-03T07:00:00Z,490.0,-6.07,-22.50,1.438112e-12
2022-02-03T08:00:00Z,490.0,50.92,0.00,1.608112e-12
2022-02-03T09:00:00Z,490.0,-56.27,22.50,1.833382e-12
2022-02-03T10:00:00Z,490.0,17.96,45.00,1.902712e-12
2022-02-03T11:00:00Z,490.0,34.28,67.50,1.848187e-12
2022-02-03T12:00:00Z,490.0,-59.92,90.00,1.829723e-12
2022-02-03T13:00:00Z,490.0,39.08,112.50,2.274958e-12
2022-02-03T14:00:00Z,490.0,12.08,135.00,2.372428e-12
2022-02-03T15:00:00Z,490.0,-53.87,157.50,2.501311e-12
2022-02-03T16:00:00Z,490.0,53.87,-180.00,2.497464e-12
2022-02-03T17:00:00Z,490.0,-12.08,-157.50,2.684859e-12
2022-02-03T18:00:00Z,490.0,-39.08,-135.00,2.819018e-12
2022-02-03T19:00:00Z,490.0,59.92,-112.50,3.135381e-12
2022-02-03T20:00:00Z,490.0,-34.28,-90.00,2.941542e-12
2022-02-03T21:00:00Z,490.0,-17.96,-67.50,3.176076e-12
2022-02-03T22:00:00Z,490.0,56.27,-45.00,3.090167e-12
2022-02-03T23:00:00Z,490.0,-50.92,-22.50,3.105318e-12
2022-02-04T00:00:00Z,490.0,6.07,0.00,2.999236e-12
2022-02-04T01:00:00Z,490.0,43.49,22.50,2.958690e-12
2022-02-04T02:00:00Z,490.0,-59.31,45.00,2.947320e-12
2022-02-04T03:00:00Z,490.0,29.12,67.50,2.528285e-12
2022-02-04T04:00:00Z,490.0,23.66,90.00,2.516128e-12
2022-02-04T05:00:00Z,490.0,-58.08,112.50,2.557385e-12
2022-02-04T06:00:00Z,490.0,47.45,135.00,2.333514e-12
2022-02-04T07:00:00Z,490.0,-0.00,157.50,2.165350e-12
2022-02-04T08:00:00Z,490.0,-47.45,-180.00,1.976308e-12
2022-02-04T09:00:00Z,490.0,58.08,-157.50,2.050007e-12
2022-02-04T10:00:00Z,490.0,-23.66,-135.00,1.914892e-12
2022-02-04T11:00:00Z,490.0,-29.12,-112.50,1.758414e-12
2022-02-04T12:00:00Z,490.0,59.31,-90.00,1.666553e-12
2022-02-04T13:00:00Z,490.0,-43.49,-67.50,1.376498e-12
2022-02-04T14:00:00Z,490.0,-6.07,-45.00,1.425400e-12
2022-02-04T15:00:00Z,490.0,50.92,-22.50,1.431878e-12
2022-02-04T16:00:00Z,490.0,-56.27,0.00,1.201139e-12
2022-02-04T17:00:00Z,490.0,17.96,22.50,1.269796e-12
2022-02-04T18:00:00Z,490.0,34.28,45.00,1.131696e-12
2022-02-04T19:00:00Z,490.0,-59.92,67.50,1.181352e-12
2022-02-04T20:00:00Z,490.0,39.08,90.00,1.216634e-12
2022-02-04T21:00:00Z,490.0,12.08,112.50,9.988491e-13
2022-02-04T22:00:00Z,490.0,-53.87,135.00,9.826229e-13
2022-02-04T23:00:00Z,490.0,53.87,157.50,1.173274e-12
