t,ap,f107_sfu
2022-02-03T00:00:00Z,11.7,112.0
2022-02-03T03:00:00Z,15.3,112.0
2022-02-03T06:00:00Z,20.7,112.0
2022-02-03T09:00:00Z,27.9,112.0
2022-02-03T12:00:00Z,36.3,112.0
2022-02-03T15:00:00Z,44.7,112.0
2022-02-03T18:00:00Z,51.3,112.0
2022-02-03T21:00:00Z,54.8,112.0
2022-02-04T00:00:00Z,54.1,112.0
2022-02-04T03:00:00Z,49.4,112.0
2022-02-04T06:00:00Z,42.0,112.0
2022-02-04T09:00:00Z,33.4,112.0
2022-02-04T12:00:00Z,25.3,112.0
2022-02-04T15:00:00Z,18.7,112.0
2022-02-04T18:00:00Z,13.9,112.0
2022-02-04T21:00:00Z,10.9,112.0
