t,alt_km,lat_deg,lon_deg,density_kg_m3
2024-05-10T12:00:00Z,491.761,-14.959,-104.679,5.291733e-13
2024-05-10T12:01:00Z,491.049,-11.127,-104.857,5.448359e-13
2024-05-10T12:02:00Z,490.448,-7.294,-105.038,5.650129e-13
2024-05-10T12:03:00Z,489.968,-3.459,-105.219,5.740085e-13
2024-05-10T12:04:00Z,489.614,0.376,-105.402,5.848283e-13
2024-05-10T12:05:00Z,489.387,4.212,-105.584,6.148844e-13
2024-05-10T12:06:00Z,489.288,8.047,-105.765,6.395083e-13
2024-05-10T12:07:00Z,489.314,11.882,-105.945,6.682303e-13
2024-05-10T12:08:00Z,489.459,15.716,-106.124,6.815972e-13
2024-05-10T12:09:00Z,489.715,19.549,-106.299,6.912901e-13
2024-05-10T12:10:00Z,490.071,23.380,-106.471,6.878685e-13
2024-05-10T12:11:00Z,490.515,27.210,-106.638,6.909284e-13
2024-05-10T12:12:00Z,491.033,31.037,-106.799,6.750322e-13
2024-05-10T12:13:00Z,491.608,34.861,-106.953,6.872335e-13
2024-05-10T12:14:00Z,492.222,38.683,-107.097,7.481368e-13
2024-05-10T12:15:00Z,492.858,42.503,-107.229,7.946754e-13
2024-05-10T12:16:00Z,493.498,46.319,-107.346,8.240129e-13
2024-05-10T12:17:00Z,494.121,50.133,-107.443,9.311902e-13
2024-05-10T12:18:00Z,494.709,53.944,-107.513,1.011944e-12
2024-05-10T12:19:00Z,495.245,57.752,-107.548,9.891759e-13
2024-05-10T12:20:00Z,495.711,61.558,-107.531,1.116803e-12
2024-05-10T12:21:00Z,496.091,65.361,-107.440,1.006650e-12
2024-05-10T12:22:00Z,496.372,69.160,-107.233,1.060016e-12
2024-05-10T12:23:00Z,496.540,72.957,-106.833,1.072375e-12
2024-05-10T12:24:00Z,496.584,76.749,-106.074,1.146183e-12
2024-05-10T12:25:00Z,496.497,80.533,-104.526,1.172096e-12
2024-05-10T12:26:00Z,496.272,84.296,-100.625,1.333370e-12
2024-05-10T12:27:00Z,495.906,87.919,-81.731,1.487769e-12
2024-05-10T12:28:00Z,495.398,87.764,41.354,1.580611e-12
2024-05-10T12:29:00Z,494.752,84.121,58.333,1.581833e-12
2024-05-10T12:30:00Z,493.970,80.354,62.039,1.630682e-12
2024-05-10T12:31:00Z,493.063,76.566,63.532,1.628262e-12
2024-05-10T12:32:00Z,492.039,72.769,64.268,1.803111e-12
2024-05-10T12:33:00Z,490.912,68.967,64.657,1.835195e-12
2024-05-10T12:34:00Z,489.696,65.161,64.857,1.848020e-12
2024-05-10T12:35:00Z,488.408,61.350,64.944,1.885024e-12
2024-05-10T12:36:00Z,487.068,57.536,64.958,1.914334e-12
2024-05-10T12:37:00Z,485.693,53.718,64.922,1.968798e-12
2024-05-10T12:38:00Z,484.307,49.897,64.850,2.035678e-12
2024-05-10T12:39:00Z,482.931,46.071,64.752,2.127455e-12
2024-05-10T12:40:00Z,481.588,42.242,64.634,2.201308e-12
2024-05-10T12:41:00Z,480.298,38.410,64.501,2.270660e-12
2024-05-10T12:42:00Z,479.086,34.574,64.356,2.342654e-12
2024-05-10T12:43:00Z,477.970,30.735,64.202,2.377158e-12
2024-05-10T12:44:00Z,476.971,26.893,64.041,2.412960e-12
2024-05-10T12:45:00Z,476.108,23.048,63.874,2.437577e-12
2024-05-10T12:46:00Z,475.396,19.201,63.702,2.452544e-12
2024-05-10T12:47:00Z,474.851,15.352,63.527,2.440652e-12
2024-05-10T12:48:00Z,474.484,11.501,63.348,2.404803e-12
2024-05-10T12:49:00Z,474.304,7.649,63.168,2.403731e-12
2024-05-10T12:50:00Z,474.318,3.797,62.987,2.404611e-12
2024-05-10T12:51:00Z,474.529,-0.056,62.805,2.451233e-12
2024-05-10T12:52:00Z,474.937,-3.908,62.623,2.470011e-12
2024-05-10T12:53:00Z,475.538,-7.759,62.442,2.501003e-12
2024-05-10T12:54:00Z,476.327,-11.609,62.262,2.469568e-12
2024-05-10T12:55:00Z,477.294,-15.457,62.084,2.436553e-12
2024-05-10T12:56:00Z,478.427,-19.303,61.908,2.377786e-12
2024-05-10T12:57:00Z,479.713,-23.147,61.737,2.288420e-12
2024-05-10T12:58:00Z,481.132,-26.987,61.569,2.171887e-12
2024-05-10T12:59:00Z,482.668,-30.824,61.408,2.027384e-12
2024-05-10T13:00:00Z,484.299,-34.658,61.254,1.870310e-12
2024-05-10T13:01:00Z,486.002,-38.487,61.109,1.752159e-12
2024-05-10T13:02:00Z,487.755,-42.313,60.976,1.655885e-12
2024-05-10T13:03:00Z,489.534,-46.135,60.858,1.588218e-12
2024-05-10T13:04:00Z,491.314,-49.953,60.760,1.474713e-12
2024-05-10T13:05:00Z,493.072,-53.766,60.688,1.345284e-12
2024-05-10T13:06:00Z,494.785,-57.576,60.652,1.232863e-12
2024-05-10T13:07:00Z,496.429,-61.381,60.665,1.167178e-12
2024-05-10T13:08:00Z,497.984,-65.183,60.752,1.118787e-12
2024-05-10T13:09:00Z,499.430,-68.980,60.951,9.894840e-13
2024-05-10T13:10:00Z,500.750,-72.773,61.337,1.081270e-12
2024-05-10T13:11:00Z,501.927,-76.560,62.069,1.305192e-12
2024-05-10T13:12:00Z,502.949,-80.338,63.552,1.174036e-12
2024-05-10T13:13:00Z,503.804,-84.095,67.218,1.036604e-12
2024-05-10T13:14:00Z,504.486,-87.732,83.802,8.695606e-13
2024-05-10T13:15:00Z,504.990,-87.960,-153.271,7.886950e-13
2024-05-10T13:16:00Z,505.313,-84.352,-133.855,7.382017e-13
2024-05-10T13:17:00Z,505.455,-80.600,-129.901,7.346778e-13
2024-05-10T13:18:00Z,505.422,-76.825,-128.336,6.920824e-13
2024-05-10T13:19:00Z,505.218,-73.043,-127.571,6.562115e-13
2024-05-10T13:20:00Z,504.852,-69.256,-127.167,6.445404e-13
2024-05-10T13:21:00Z,504.336,-65.466,-126.958,6.412282e-13
2024-05-10T13:22:00Z,503.684,-61.672,-126.865,6.260011e-13
2024-05-10T13:23:00Z,502.910,-57.875,-126.848,6.274097e-13
2024-05-10T13:24:00Z,502.032,-54.075,-126.882,6.497816e-13
2024-05-10T13:25:00Z,501.068,-50.272,-126.951,6.568802e-13
2024-05-10T13:26:00Z,500.038,-46.466,-127.048,6.650430e-13
2024-05-10T13:27:00Z,498.962,-42.657,-127.165,6.645626e-13
2024-05-10T13:28:00Z,497.861,-38.844,-127.297,6.405054e-13
2024-05-10T13:29:00Z,496.757,-35.028,-127.441,6.009331e-13
2024-05-10T13:30:00Z,495.668,-31.209,-127.595,5.827287e-13
2024-05-10T13:31:00Z,494.615,-27.387,-127.756,5.677493e-13
2024-05-10T13:32:00Z,493.617,-23.562,-127.923,5.704002e-13
2024-05-10T13:33:00Z,492.689,-19.734,-128.094,5.800652e-13
2024-05-10T13:34:00Z,491.848,-15.904,-128.270,5.885548e-13
2024-05-10T13:35:00Z,491.107,-12.073,-128.448,6.120546e-13
2024-05-10T13:36:00Z,490.476,-8.240,-128.628,6.254152e-13
2024-05-10T13:37:00Z,489.963,-4.405,-128.810,6.307116e-13
2024-05-10T13:38:00Z,489.576,-0.570,-128.992,6.396145e-13
2024-05-10T13:39:00Z,489.317,3.266,-129.174,6.449249e-13
2024-05-10T13:40:00Z,489.186,7.101,-129.356,6.646183e-13
2024-05-10T13:41:00Z,489.181,10.937,-129.537,6.849756e-13
2024-05-10T13:42:00Z,489.297,14.771,-129.715,7.032419e-13
2024-05-10T13:43:00Z,489.528,18.604,-129.892,7.256624e-13
2024-05-10T13:44:00Z,489.862,22.436,-130.064,7.420628e-13
