t,ap,f107_sfu
2024-05-08T00:00:00Z,4.0,227.1
2024-05-08T03:00:00Z,6.0,227.1
2024-05-08T06:00:00Z,6.0,227.1
2024-05-08T09:00:00Z,6.0,227.1
2024-05-08T12:00:00Z,6.0,227.1
2024-05-08T15:00:00Z,7.0,227.1
2024-05-08T18:00:00Z,3.0,227.1
2024-05-08T21:00:00Z,4.0,227.1
2024-05-09T00:00:00Z,3.0,233.2
2024-05-09T03:00:00Z,5.0,233.2
2024-05-09T06:00:00Z,3.0,233.2
2024-05-09T09:00:00Z,5.0,233.2
2024-05-09T12:00:00Z,4.0,233.2
2024-05-09T15:00:00Z,4.0,233.2
2024-05-09T18:00:00Z,9.0,233.2
2024-05-09T21:00:00Z,7.0,233.2
2024-05-10T00:00:00Z,12.0,223.4
2024-05-10T03:00:00Z,12.0,223.4
2024-05-10T06:00:00Z,9.0,223.4
2024-05-10T09:00:00Z,7.0,223.4
2024-05-10T12:00:00Z,22.0,223.4
2024-05-10T15:00:00Z,179.0,223.4
2024-05-10T18:00:00Z,300.0,223.4
2024-05-10T21:00:00Z,300.0,223.4
2024-05-11T00:00:00Z,400.0,213.7
2024-05-11T03:00:00Z,236.0,213.7
2024-05-11T06:00:00Z,236.0,213.7
2024-05-11T09:00:00Z,400.0,213.7
2024-05-11T12:00:00Z,300.0,213.7
2024-05-11T15:00:00Z,236.0,213.7
2024-05-11T18:00:00Z,179.0,213.7
2024-05-11T21:00:00Z,179.0,213.7
2024-05-12T00:00:00Z,94.0,221.8
2024-05-12T03:00:00Z,132.0,221.8
2024-05-12T06:00:00Z,22.0,221.8
2024-05-12T09:00:00Z,32.0,221.8
2024-05-12T12:00:00Z,7.0,221.8
2024-05-12T15:00:00Z,15.0,221.8
2024-05-12T18:00:00Z,27.0,221.8
2024-05-12T21:00:00Z,94.0,221.8
2024-05-13T00:00:00Z,56.0,215.4
2024-05-13T03:00:00Z,80.0,215.4
2024-05-13T06:00:00Z,18.0,215.4
2024-05-13T09:00:00Z,12.0,215.4
2024-05-13T12:00:00Z,18.0,215.4
2024-05-13T15:00:00Z,12.0,215.4
2024-05-13T18:00:00Z,9.0,215.4
2024-05-13T21:00:00Z,9.0,215.4
2024-05-14T00:00:00Z,5.0,219.8
2024-05-14T03:00:00Z,5.0,219.8
2024-05-14T06:00:00Z,5.0,219.8
2024-05-14T09:00:00Z,9.0,219.8
2024-05-14T12:00:00Z,9.0,219.8
2024-05-14T15:00:00Z,6.0,219.8
2024-05-14T18:00:00Z,7.0,219.8
2024-05-14T21:00:00Z,3.0,219.8
