t,alt_km,lat_deg,lon_deg,density_kg_m3
2024-05-10T12:00:00Z,495.7,-62.41,111.56,1.085428e-12
2024-05-10T12:00:30Z,496.3,-64.3,111.87,1.072446e-12
2024-05-10T12:01:00Z,496.9,-66.19,112.24,1.056283e-12
2024-05-10T12:01:30Z,497.5,-68.08,112.7,1.037784e-12
2024-05-10T12:02:00Z,498.0,-69.96,113.26,1.016971e-12
2024-05-10T12:02:30Z,498.5,-71.84,113.95,9.938708e-13
2024-05-10T12:03:00Z,499.0,-73.72,114.83,9.686667e-13
2024-05-10T12:03:30Z,499.4,-75.58,115.96,9.413343e-13
2024-05-10T12:04:00Z,499.7,-77.44,117.45,9.122451e-13
2024-05-10T12:04:30Z,500.0,-79.29,119.49,8.826336e-13
2024-05-10T12:05:00Z,500.3,-81.12,122.42,8.526927e-13
2024-05-10T12:05:30Z,500.5,-82.9,126.89,8.223262e-13
2024-05-10T12:06:00Z,500.7,-84.62,134.33,7.924578e-13
2024-05-10T12:06:30Z,500.8,-86.15,148.24,7.630281e-13
2024-05-10T12:07:00Z,500.9,-87.21,175.95,7.356438e-13
2024-05-10T12:07:30Z,500.9,-87.17,-144.73,7.105245e-13
2024-05-10T12:08:00Z,500.8,-86.08,-117.92,6.877103e-13
2024-05-10T12:08:30Z,500.8,-84.53,-104.49,6.663325e-13
2024-05-10T12:09:00Z,500.6,-82.81,-97.26,6.485331e-13
2024-05-10T12:09:30Z,500.4,-81.02,-92.9,6.343755e-13
2024-05-10T12:10:00Z,500.2,-79.2,-90.03,6.233283e-13
2024-05-10T12:10:30Z,499.9,-77.35,-88.03,6.157862e-13
2024-05-10T12:11:00Z,499.6,-75.49,-86.56,6.117980e-13
2024-05-10T12:11:30Z,499.2,-73.62,-85.44,6.098185e-13
2024-05-10T12:12:00Z,498.8,-71.74,-84.58,6.089115e-13
2024-05-10T12:12:30Z,498.4,-69.86,-83.89,6.101682e-13
2024-05-10T12:13:00Z,497.9,-67.98,-83.34,6.129260e-13
2024-05-10T12:13:30Z,497.3,-66.09,-82.88,6.165526e-13
2024-05-10T12:14:00Z,496.8,-64.2,-82.51,6.218135e-13
2024-05-10T12:14:30Z,496.2,-62.31,-82.2,6.274024e-13
2024-05-10T12:15:00Z,495.5,-60.42,-81.95,6.335263e-13
2024-05-10T12:15:30Z,494.9,-58.52,-81.73,6.399891e-13
2024-05-10T12:16:00Z,494.2,-56.63,-81.55,6.465749e-13
2024-05-10T12:16:30Z,493.5,-54.73,-81.4,6.531021e-13
2024-05-10T12:17:00Z,492.7,-52.83,-81.27,6.596875e-13
2024-05-10T12:17:30Z,492.0,-50.93,-81.17,6.662701e-13
2024-05-10T12:18:00Z,491.2,-49.03,-81.08,6.729616e-13
2024-05-10T12:18:30Z,490.4,-47.12,-81.01,6.799549e-13
2024-05-10T12:19:00Z,489.6,-45.22,-80.95,6.870597e-13
2024-05-10T12:19:30Z,488.8,-43.31,-80.9,6.949167e-13
2024-05-10T12:20:00Z,488.0,-41.41,-80.87,7.037196e-13
2024-05-10T12:20:30Z,487.2,-39.5,-80.84,7.135850e-13
2024-05-10T12:21:00Z,486.3,-37.59,-80.82,7.252499e-13
2024-05-10T12:21:30Z,485.5,-35.68,-80.81,7.385456e-13
2024-05-10T12:22:00Z,484.7,-33.77,-80.81,7.534556e-13
2024-05-10T12:22:30Z,483.9,-31.85,-80.81,7.702898e-13
2024-05-10T12:23:00Z,483.1,-29.94,-80.81,7.890784e-13
2024-05-10T12:23:30Z,482.4,-28.02,-80.82,8.098088e-13
2024-05-10T12:24:00Z,481.6,-26.11,-80.83,8.325463e-13
2024-05-10T12:24:30Z,480.9,-24.19,-80.85,8.571926e-13
2024-05-10T12:25:00Z,480.2,-22.28,-80.87,8.836019e-13
2024-05-10T12:25:30Z,479.5,-20.36,-80.9,9.118104e-13
2024-05-10T12:26:00Z,478.8,-18.44,-80.92,9.414860e-13
2024-05-10T12:26:30Z,478.2,-16.52,-80.95,9.725207e-13
2024-05-10T12:27:00Z,477.6,-14.6,-80.98,1.004479e-12
2024-05-10T12:27:30Z,477.0,-12.68,-81.01,1.037153e-12
2024-05-10T12:28:00Z,476.5,-10.76,-81.04,1.070020e-12
2024-05-10T12:28:30Z,476.0,-8.84,-81.08,1.102845e-12
2024-05-10T12:29:00Z,475.5,-6.91,-81.11,1.135091e-12
2024-05-10T12:29:30Z,475.1,-4.99,-81.15,1.166658e-12
2024-05-10T12:30:00Z,474.7,-3.07,-81.18,1.197024e-12
2024-05-10T12:30:30Z,474.4,-1.14,-81.22,1.225865e-12
2024-05-10T12:31:00Z,474.1,0.78,-81.26,1.252966e-12
2024-05-10T12:31:30Z,473.8,2.7,-81.29,1.278027e-12
2024-05-10T12:32:00Z,473.6,4.63,-81.33,1.300821e-12
2024-05-10T12:32:30Z,473.4,6.55,-81.37,1.321075e-12
2024-05-10T12:33:00Z,473.2,8.47,-81.4,1.338602e-12
2024-05-10T12:33:30Z,473.1,10.4,-81.43,1.353532e-12
2024-05-10T12:34:00Z,473.1,12.32,-81.47,1.365805e-12
2024-05-10T12:34:30Z,473.0,14.24,-81.5,1.375306e-12
2024-05-10T12:35:00Z,473.0,16.17,-81.53,1.382396e-12
2024-05-10T12:35:30Z,473.1,18.09,-81.56,1.386751e-12
2024-05-10T12:36:00Z,473.2,20.01,-81.58,1.389038e-12
2024-05-10T12:36:30Z,473.3,21.93,-81.61,1.389300e-12
2024-05-10T12:37:00Z,473.4,23.86,-81.63,1.387393e-12
2024-05-10T12:37:30Z,473.6,25.78,-81.65,1.383676e-12
2024-05-10T12:38:00Z,473.8,27.7,-81.66,1.378503e-12
2024-05-10T12:38:30Z,474.0,29.62,-81.67,1.372022e-12
2024-05-10T12:39:00Z,474.3,31.54,-81.68,1.364728e-12
2024-05-10T12:39:30Z,474.6,33.45,-81.68,1.356889e-12
2024-05-10T12:40:00Z,474.9,35.37,-81.67,1.348718e-12
2024-05-10T12:40:30Z,475.2,37.29,-81.66,1.340461e-12
2024-05-10T12:41:00Z,475.6,39.2,-81.64,1.332041e-12
2024-05-10T12:41:30Z,475.9,41.12,-81.62,1.323851e-12
2024-05-10T12:42:00Z,476.3,43.03,-81.58,1.315972e-12
2024-05-10T12:42:30Z,476.6,44.95,-81.54,1.308537e-12
2024-05-10T12:43:00Z,477.0,46.86,-81.48,1.301783e-12
2024-05-10T12:43:30Z,477.4,48.77,-81.41,1.295653e-12
2024-05-10T12:44:00Z,477.8,50.68,-81.32,1.290134e-12
2024-05-10T12:44:30Z,478.2,52.59,-81.22,1.286362e-12
2024-05-10T12:45:00Z,478.6,54.5,-81.09,1.284953e-12
2024-05-10T12:45:30Z,479.0,56.4,-80.94,1.286515e-12
2024-05-10T12:46:00Z,479.3,58.31,-80.77,1.290802e-12
2024-05-10T12:46:30Z,479.7,60.21,-80.55,1.297962e-12
2024-05-10T12:47:00Z,480.0,62.11,-80.3,1.308152e-12
2024-05-10T12:47:30Z,480.4,64.02,-79.99,1.321455e-12
2024-05-10T12:48:00Z,480.7,65.91,-79.63,1.337880e-12
2024-05-10T12:48:30Z,481.0,67.81,-79.18,1.357540e-12
2024-05-10T12:49:00Z,481.3,69.7,-78.63,1.380422e-12
2024-05-10T12:49:30Z,481.5,71.59,-77.95,1.406999e-12
2024-05-10T12:50:00Z,481.8,73.48,-77.1,1.437348e-12
2024-05-10T12:50:30Z,482.0,75.36,-76.0,1.471094e-12
2024-05-10T12:51:00Z,482.2,77.23,-74.55,1.508131e-12
2024-05-10T12:51:30Z,482.3,79.09,-72.57,1.547170e-12
2024-05-10T12:52:00Z,482.5,80.92,-69.75,1.588674e-12
2024-05-10T12:52:30Z,482.6,82.72,-65.47,1.631884e-12
2024-05-10T12:53:00Z,482.7,84.46,-58.38,1.676074e-12
2024-05-10T12:53:30Z,482.7,86.03,-45.25,1.720602e-12
2024-05-10T12:54:00Z,482.7,87.15,-18.92,1.765047e-12
2024-05-10T12:54:30Z,482.7,87.22,20.54,1.808134e-12
2024-05-10T12:55:00Z,482.7,86.18,48.84,1.844872e-12
2024-05-10T12:55:30Z,482.6,84.64,63.03,1.877688e-12
2024-05-10T12:56:00Z,482.5,82.92,70.58,1.907085e-12
2024-05-10T12:56:30Z,482.4,81.13,75.09,1.932647e-12
2024-05-10T12:57:00Z,482.2,79.29,78.03,1.954495e-12
2024-05-10T12:57:30Z,482.0,77.44,80.09,1.972923e-12
2024-05-10T12:58:00Z,481.8,75.57,81.59,1.988285e-12
2024-05-10T12:58:30Z,481.5,73.69,82.72,2.002510e-12
2024-05-10T12:59:00Z,481.3,71.81,83.6,2.015590e-12
2024-05-10T12:59:30Z,481.0,69.92,84.29,2.027179e-12
2024-05-10T13:00:00Z,480.7,68.02,84.85,2.037187e-12
2024-05-10T13:00:30Z,480.3,66.13,85.31,2.045361e-12
2024-05-10T13:01:00Z,480.0,64.23,85.69,2.051235e-12
2024-05-10T13:01:30Z,479.6,62.33,86.0,2.054226e-12
2024-05-10T13:02:00Z,479.2,60.43,86.26,2.054440e-12
2024-05-10T13:02:30Z,478.9,58.52,86.47,2.050576e-12
2024-05-10T13:03:00Z,478.5,56.62,86.66,2.044072e-12
2024-05-10T13:03:30Z,478.1,54.71,86.81,2.035999e-12
2024-05-10T13:04:00Z,477.6,52.8,86.93,2.027012e-12
2024-05-10T13:04:30Z,477.2,50.89,87.04,2.017301e-12
2024-05-10T13:05:00Z,476.8,48.98,87.13,2.006961e-12
