t,ap,f107_sfu
2015-06-21T00:00:00Z,3.0,131.7
2015-06-21T03:00:00Z,3.0,131.7
2015-06-21T06:00:00Z,2.0,131.7
2015-06-21T09:00:00Z,2.0,131.7
2015-06-21T12:00:00Z,4.0,131.7
2015-06-21T15:00:00Z,22.0,131.7
2015-06-21T18:00:00Z,9.0,131.7
2015-06-21T21:00:00Z,12.0,131.7
2015-06-22T00:00:00Z,4.0,246.9
2015-06-22T03:00:00Z,18.0,246.9
2015-06-22T06:00:00Z,32.0,246.9
2015-06-22T09:00:00Z,15.0,246.9
2015-06-22T12:00:00Z,39.0,246.9
2015-06-22T15:00:00Z,56.0,246.9
2015-06-22T18:00:00Z,236.0,246.9
2015-06-22T21:00:00Z,56.0,246.9
2015-06-23T00:00:00Z,132.0,116.1
2015-06-23T03:00:00Z,179.0,116.1
2015-06-23T06:00:00Z,94.0,116.1
2015-06-23T09:00:00Z,56.0,116.1
2015-06-23T12:00:00Z,67.0,116.1
2015-06-23T15:00:00Z,12.0,116.1
2015-06-23T18:00:00Z,22.0,116.1
2015-06-23T21:00:00Z,18.0,116.1
2015-06-24T00:00:00Z,27.0,109.5
2015-06-24T03:00:00Z,18.0,109.5
2015-06-24T06:00:00Z,27.0,109.5
2015-06-24T09:00:00Z,12.0,109.5
2015-06-24T12:00:00Z,12.0,109.5
2015-06-24T15:00:00Z,15.0,109.5
2015-06-24T18:00:00Z,12.0,109.5
2015-06-24T21:00:00Z,4.0,109.5
2015-06-25T00:00:00Z,7.0,101.8
2015-06-25T03:00:00Z,12.0,101.8
2015-06-25T06:00:00Z,56.0,101.8
2015-06-25T09:00:00Z,48.0,101.8
2015-06-25T12:00:00Z,67.0,101.8
2015-06-25T15:00:00Z,32.0,101.8
2015-06-25T18:00:00Z,18.0,101.8
2015-06-25T21:00:00Z,12.0,101.8
2015-06-26T00:00:00Z,12.0,101.2
2015-06-26T03:00:00Z,9.0,101.2
2015-06-26T06:00:00Z,7.0,101.2
2015-06-26T09:00:00Z,12.0,101.2
2015-06-26T12:00:00Z,3.0,101.2
2015-06-26T15:00:00Z,3.0,101.2
2015-06-26T18:00:00Z,2.0,101.2
2015-06-26T21:00:00Z,12.0,101.2
