t,ap,f107_sfu
2004-11-06T00:00:00Z,0.0,128.8
2004-11-06T03:00:00Z,0.0,128.8
2004-11-06T06:00:00Z,0.0,128.8
2004-11-06T09:00:00Z,2.0,128.8
2004-11-06T12:00:00Z,2.0,128.8
2004-11-06T15:00:00Z,0.0,128.8
2004-11-06T18:00:00Z,3.0,128.8
2004-11-06T21:00:00Z,0.0,128.8
2004-11-07T00:00:00Z,6.0,129.6
2004-11-07T03:00:00Z,15.0,129.6
2004-11-07T06:00:00Z,3.0,129.6
2004-11-07T09:00:00Z,18.0,129.6
2004-11-07T12:00:00Z,15.0,129.6
2004-11-07T15:00:00Z,39.0,129.6
2004-11-07T18:00:00Z,94.0,129.6
2004-11-07T21:00:00Z,207.0,129.6
2004-11-08T00:00:00Z,300.0,124.1
2004-11-08T03:00:00Z,300.0,124.1
2004-11-08T06:00:00Z,236.0,124.1
2004-11-08T09:00:00Z,132.0,124.1
2004-11-08T12:00:00Z,48.0,124.1
2004-11-08T15:00:00Z,12.0,124.1
2004-11-08T18:00:00Z,32.0,124.1
2004-11-08T21:00:00Z,56.0,124.1
2004-11-09T00:00:00Z,67.0,140.9
2004-11-09T03:00:00Z,80.0,140.9
2004-11-09T06:00:00Z,48.0,140.9
2004-11-09T09:00:00Z,80.0,140.9
2004-11-09T12:00:00Z,132.0,140.9
2004-11-09T15:00:00Z,111.0,140.9
2004-11-09T18:00:00Z,300.0,140.9
2004-11-09T21:00:00Z,132.0,140.9
2004-11-10T00:00:00Z,179.0,104.6
2004-11-10T03:00:00Z,236.0,104.6
2004-11-10T06:00:00Z,300.0,104.6
2004-11-10T09:00:00Z,236.0,104.6
2004-11-10T12:00:00Z,154.0,104.6
2004-11-10T15:00:00Z,94.0,104.6
2004-11-10T18:00:00Z,56.0,104.6
2004-11-10T21:00:00Z,32.0,104.6
2004-11-11T00:00:00Z,27.0,94.9
2004-11-11T03:00:00Z,48.0,94.9
2004-11-11T06:00:00Z,32.0,94.9
2004-11-11T09:00:00Z,22.0,94.9
2004-11-11T12:00:00Z,9.0,94.9
2004-11-11T15:00:00Z,15.0,94.9
2004-11-11T18:00:00Z,9.0,94.9
2004-11-11T21:00:00Z,32.0,94.9
2004-11-12T00:00:00Z,39.0,96.0
2004-11-12T03:00:00Z,39.0,96.0
2004-11-12T06:00:00Z,27.0,96.0
2004-11-12T09:00:00Z,32.0,96.0
2004-11-12T12:00:00Z,18.0,96.0
2004-11-12T15:00:00Z,27.0,96.0
2004-11-12T18:00:00Z,32.0,96.0
2004-11-12T21:00:00Z,27.0,96.0
