t,ap,f107_sfu
2024-10-08T00:00:00Z,111.0,224.7
2024-10-08T03:00:00Z,132.0,224.7
2024-10-08T06:00:00Z,67.0,224.7
2024-10-08T09:00:00Z,27.0,224.7
2024-10-08T12:00:00Z,18.0,224.7
2024-10-08T15:00:00Z,22.0,224.7
2024-10-08T18:00:00Z,27.0,224.7
2024-10-08T21:00:00Z,32.0,224.7
2024-10-09T00:00:00Z,27.0,220.3
2024-10-09T03:00:00Z,32.0,220.3
2024-10-09T06:00:00Z,22.0,220.3
2024-10-09T09:00:00Z,15.0,220.3
2024-10-09T12:00:00Z,18.0,220.3
2024-10-09T15:00:00Z,12.0,220.3
2024-10-09T18:00:00Z,7.0,220.3
2024-10-09T21:00:00Z,9.0,220.3
2024-10-10T00:00:00Z,7.0,216.3
2024-10-10T03:00:00Z,12.0,216.3
2024-10-10T06:00:00Z,5.0,216.3
2024-10-10T09:00:00Z,12.0,216.3
2024-10-10T12:00:00Z,22.0,216.3
2024-10-10T15:00:00Z,179.0,216.3
2024-10-10T18:00:00Z,236.0,216.3
2024-10-10T21:00:00Z,300.0,216.3
2024-10-11T00:00:00Z,236.0,213.9
2024-10-11T03:00:00Z,179.0,213.9
2024-10-11T06:00:00Z,179.0,213.9
2024-10-11T09:00:00Z,179.0,213.9
2024-10-11T12:00:00Z,94.0,213.9
2024-10-11T15:00:00Z,27.0,213.9
2024-10-11T18:00:00Z,15.0,213.9
2024-10-11T21:00:00Z,18.0,213.9
2024-10-12T00:00:00Z,18.0,213.6
2024-10-12T03:00:00Z,6.0,213.6
2024-10-12T06:00:00Z,9.0,213.6
2024-10-12T09:00:00Z,39.0,213.6
2024-10-12T12:00:00Z,27.0,213.6
2024-10-12T15:00:00Z,15.0,213.6
2024-10-12T18:00:00Z,15.0,213.6
2024-10-12T21:00:00Z,12.0,213.6
2024-10-13T00:00:00Z,2.0,194.9
2024-10-13T03:00:00Z,0.0,194.9
2024-10-13T06:00:00Z,2.0,194.9
2024-10-13T09:00:00Z,5.0,194.9
2024-10-13T12:00:00Z,6.0,194.9
2024-10-13T15:00:00Z,4.0,194.9
2024-10-13T18:00:00Z,6.0,194.9
2024-10-13T21:00:00Z,4.0,194.9
