t,ap,f107_sfu
2017-09-06T00:00:00Z,5.0,132.9
2017-09-06T03:00:00Z,5.0,132.9
2017-09-06T06:00:00Z,5.0,132.9
2017-09-06T09:00:00Z,12.0,132.9
2017-09-06T12:00:00Z,15.0,132.9
2017-09-06T15:00:00Z,6.0,132.9
2017-09-06T18:00:00Z,2.0,132.9
2017-09-06T21:00:00Z,18.0,132.9
2017-09-07T00:00:00Z,12.0,128.5
2017-09-07T03:00:00Z,22.0,128.5
2017-09-07T06:00:00Z,22.0,128.5
2017-09-07T09:00:00Z,22.0,128.5
2017-09-07T12:00:00Z,12.0,128.5
2017-09-07T15:00:00Z,7.0,128.5
2017-09-07T18:00:00Z,12.0,128.5
2017-09-07T21:00:00Z,179.0,128.5
2017-09-08T00:00:00Z,207.0,116.8
2017-09-08T03:00:00Z,39.0,116.8
2017-09-08T06:00:00Z,32.0,116.8
2017-09-08T09:00:00Z,48.0,116.8
2017-09-08T12:00:00Z,236.0,116.8
2017-09-08T15:00:00Z,154.0,116.8
2017-09-08T18:00:00Z,94.0,116.8
2017-09-08T21:00:00Z,39.0,116.8
2017-09-09T00:00:00Z,9.0,107.2
2017-09-09T03:00:00Z,6.0,107.2
2017-09-09T06:00:00Z,2.0,107.2
2017-09-09T09:00:00Z,2.0,107.2
2017-09-09T12:00:00Z,3.0,107.2
2017-09-09T15:00:00Z,2.0,107.2
2017-09-09T18:00:00Z,0.0,107.2
2017-09-09T21:00:00Z,0.0,107.2
2017-09-10T00:00:00Z,0.0,100.2
2017-09-10T03:00:00Z,0.0,100.2
2017-09-10T06:00:00Z,0.0,100.2
2017-09-10T09:00:00Z,0.0,100.2
2017-09-10T12:00:00Z,2.0,100.2
2017-09-10T15:00:00Z,12.0,100.2
2017-09-10T18:00:00Z,7.0,100.2
2017-09-10T21:00:00Z,15.0,100.2
2017-09-11T00:00:00Z,18.0,79.9
2017-09-11T03:00:00Z,12.0,79.9
2017-09-11T06:00:00Z,9.0,79.9
2017-09-11T09:00:00Z,7.0,79.9
2017-09-11T12:00:00Z,12.0,79.9
2017-09-11T15:00:00Z,7.0,79.9
2017-09-11T18:00:00Z,12.0,79.9
2017-09-11T21:00:00Z,12.0,79.9
2017-09-12T00:00:00Z,7.0,75.5
2017-09-12T03:00:00Z,6.0,75.5
2017-09-12T06:00:00Z,9.0,75.5
2017-09-12T09:00:00Z,7.0,75.5
2017-09-12T12:00:00Z,12.0,75.5
2017-09-12T15:00:00Z,9.0,75.5
2017-09-12T18:00:00Z,27.0,75.5
2017-09-12T21:00:00Z,56.0,75.5
