t,ap,f107_sfu
2019-12-08T00:00:00Z,0.0,71.6
2019-12-08T03:00:00Z,2.0,71.6
2019-12-08T06:00:00Z,2.0,71.6
2019-12-08T09:00:00Z,0.0,71.6
2019-12-08T12:00:00Z,2.0,71.6
2019-12-08T15:00:00Z,3.0,71.6
2019-12-08T18:00:00Z,5.0,71.6
2019-12-08T21:00:00Z,5.0,71.6
2019-12-09T00:00:00Z,12.0,70.7
2019-12-09T03:00:00Z,4.0,70.7
2019-12-09T06:00:00Z,0.0,70.7
2019-12-09T09:00:00Z,0.0,70.7
2019-12-09T12:00:00Z,2.0,70.7
2019-12-09T15:00:00Z,3.0,70.7
2019-12-09T18:00:00Z,2.0,70.7
2019-12-09T21:00:00Z,6.0,70.7
2019-12-10T00:00:00Z,3.0,70.6
2019-12-10T03:00:00Z,7.0,70.6
2019-12-10T06:00:00Z,4.0,70.6
2019-12-10T09:00:00Z,4.0,70.6
2019-12-10T12:00:00Z,2.0,70.6
2019-12-10T15:00:00Z,2.0,70.6
2019-12-10T18:00:00Z,3.0,70.6
2019-12-10T21:00:00Z,4.0,70.6
2019-12-11T00:00:00Z,12.0,70.7
2019-12-11T03:00:00Z,7.0,70.7
2019-12-11T06:00:00Z,2.0,70.7
2019-12-11T09:00:00Z,3.0,70.7
2019-12-11T12:00:00Z,4.0,70.7
2019-12-11T15:00:00Z,6.0,70.7
2019-12-11T18:00:00Z,3.0,70.7
2019-12-11T21:00:00Z,6.0,70.7
2019-12-12T00:00:00Z,4.0,70.5
2019-12-12T03:00:00Z,0.0,70.5
2019-12-12T06:00:00Z,5.0,70.5
2019-12-12T09:00:00Z,5.0,70.5
2019-12-12T12:00:00Z,2.0,70.5
2019-12-12T15:00:00Z,0.0,70.5
2019-12-12T18:00:00Z,2.0,70.5
2019-12-12T21:00:00Z,6.0,70.5
2019-12-13T00:00:00Z,5.0,68.9
2019-12-13T03:00:00Z,7.0,68.9
2019-12-13T06:00:00Z,5.0,68.9
2019-12-13T09:00:00Z,2.0,68.9
2019-12-13T12:00:00Z,0.0,68.9
2019-12-13T15:00:00Z,2.0,68.9
2019-12-13T18:00:00Z,3.0,68.9
2019-12-13T21:00:00Z,0.0,68.9
