t,sme_nt,smu_nt,sml_nt,h_comp_mean_nt,jh_proxy_gw
2015-03-16T12:00:00Z,44.00,39.00,-5.00,22.00,1.388
2015-03-16T12:01:00Z,48.00,40.00,-8.00,22.00,1.521
2015-03-16T12:02:00Z,49.00,42.00,-7.00,22.00,1.554
2015-03-16T12:03:00Z,53.00,43.00,-10.00,23.00,1.688
2015-03-16T12:04:00Z,53.00,44.00,-9.00,23.00,1.688
2015-03-16T12:05:00Z,52.00,46.00,-6.00,22.00,1.655
2015-03-16T12:06:00Z,45.00,42.00,-3.00,21.00,1.421
2015-03-16T12:07:00Z,49.00,40.00,-9.00,21.00,1.554
2015-03-16T12:08:00Z,45.00,41.00,-4.00,21.00,1.421
2015-03-16T12:09:00Z,52.00,42.00,-10.00,21.00,1.655
2015-03-16T12:10:00Z,55.00,44.00,-11.00,21.00,1.756
2015-03-16T12:11:00Z,46.00,42.00,-4.00,21.00,1.454
2015-03-16T12:12:00Z,49.00,40.00,-9.00,20.00,1.554
2015-03-16T12:13:00Z,53.00,39.00,-14.00,20.00,1.688
2015-03-16T12:14:00Z,53.00,38.00,-15.00,20.00,1.688
2015-03-16T12:15:00Z,52.00,39.00,-13.00,20.00,1.655
2015-03-16T12:16:00Z,64.00,43.00,-21.00,19.00,2.063
2015-03-16T12:17:00Z,57.00,43.00,-14.00,20.00,1.824
2015-03-16T12:18:00Z,56.00,37.00,-19.00,21.00,1.790
2015-03-16T12:19:00Z,52.00,42.00,-10.00,22.00,1.655
2015-03-16T12:20:00Z,49.00,42.00,-7.00,22.00,1.554
2015-03-16T12:21:00Z,46.00,38.00,-8.00,21.00,1.454
2015-03-16T12:22:00Z,45.00,37.00,-8.00,20.00,1.421
2015-03-16T12:23:00Z,43.00,34.00,-9.00,20.00,1.355
2015-03-16T12:24:00Z,44.00,33.00,-11.00,20.00,1.388
2015-03-16T12:25:00Z,44.00,34.00,-10.00,20.00,1.388
2015-03-16T12:26:00Z,47.00,36.00,-11.00,19.00,1.487
2015-03-16T12:27:00Z,47.00,38.00,-9.00,19.00,1.487
2015-03-16T12:28:00Z,46.00,39.00,-7.00,19.00,1.454
2015-03-16T12:29:00Z,46.00,38.00,-8.00,18.00,1.454
2015-03-16T12:30:00Z,44.00,36.00,-8.00,18.00,1.388
2015-03-16T12:31:00Z,41.00,35.00,-6.00,16.00,1.289
2015-03-16T12:32:00Z,44.00,32.00,-12.00,16.00,1.388
2015-03-16T12:33:00Z,45.00,32.00,-13.00,17.00,1.421
2015-03-16T12:34:00Z,47.00,33.00,-14.00,16.00,1.487
2015-03-16T12:35:00Z,48.00,34.00,-14.00,16.00,1.521
2015-03-16T12:36:00Z,48.00,33.00,-15.00,16.00,1.521
