t,ap,f107_sfu
2015-03-15T00:00:00Z,7.0,114.4
2015-03-15T03:00:00Z,7.0,114.4
2015-03-15T06:00:00Z,12.0,114.4
2015-03-15T09:00:00Z,5.0,114.4
2015-03-15T12:00:00Z,5.0,114.4
2015-03-15T15:00:00Z,5.0,114.4
2015-03-15T18:00:00Z,7.0,114.4
2015-03-15T21:00:00Z,4.0,114.4
2015-03-16T00:00:00Z,6.0,117.2
2015-03-16T03:00:00Z,18.0,117.2
2015-03-16T06:00:00Z,22.0,117.2
2015-03-16T09:00:00Z,15.0,117.2
2015-03-16T12:00:00Z,12.0,117.2
2015-03-16T15:00:00Z,12.0,117.2
2015-03-16T18:00:00Z,5.0,117.2
2015-03-16T21:00:00Z,2.0,117.2
2015-03-17T00:00:00Z,7.0,114.3
2015-03-17T03:00:00Z,39.0,114.3
2015-03-17T06:00:00Z,67.0,114.3
2015-03-17T09:00:00Z,56.0,114.3
2015-03-17T12:00:00Z,179.0,114.3
2015-03-17T15:00:00Z,179.0,114.3
2015-03-17T18:00:00Z,154.0,114.3
2015-03-17T21:00:00Z,179.0,114.3
2015-03-18T00:00:00Z,80.0,114.8
2015-03-18T03:00:00Z,39.0,114.8
2015-03-18T06:00:00Z,32.0,114.8
2015-03-18T09:00:00Z,32.0,114.8
2015-03-18T12:00:00Z,56.0,114.8
2015-03-18T15:00:00Z,56.0,114.8
2015-03-18T18:00:00Z,39.0,114.8
2015-03-18T21:00:00Z,39.0,114.8
2015-03-19T00:00:00Z,32.0,109.3
2015-03-19T03:00:00Z,27.0,109.3
2015-03-19T06:00:00Z,22.0,109.3
2015-03-19T09:00:00Z,48.0,109.3
2015-03-19T12:00:00Z,32.0,109.3
2015-03-19T15:00:00Z,15.0,109.3
2015-03-19T18:00:00Z,9.0,109.3
2015-03-19T21:00:00Z,22.0,109.3
2015-03-20T00:00:00Z,39.0,112.7
2015-03-20T03:00:00Z,15.0,112.7
2015-03-20T06:00:00Z,39.0,112.7
2015-03-20T09:00:00Z,15.0,112.7
2015-03-20T12:00:00Z,12.0,112.7
2015-03-20T15:00:00Z,9.0,112.7
2015-03-20T18:00:00Z,18.0,112.7
2015-03-20T21:00:00Z,32.0,112.7
2015-03-21T00:00:00Z,27.0,113.6
2015-03-21T03:00:00Z,12.0,113.6
2015-03-21T06:00:00Z,18.0,113.6
2015-03-21T09:00:00Z,12.0,113.6
2015-03-21T12:00:00Z,9.0,113.6
2015-03-21T15:00:00Z,6.0,113.6
2015-03-21T18:00:00Z,6.0,113.6
2015-03-21T21:00:00Z,5.0,113.6
