t,ap,f107_sfu
1900-01-01T00:00:00Z,22.0,385.8
1900-01-01T03:00:00Z,18.0,385.8
1900-01-01T06:00:00Z,18.0,385.8
1900-01-01T09:00:00Z,7.0,385.8
1900-01-01T12:00:00Z,7.0,385.8
1900-01-01T15:00:00Z,9.0,385.8
1900-01-01T18:00:00Z,5.0,385.8
1900-01-01T21:00:00Z,4.0,385.8
1900-01-02T00:00:00Z,15.0,411.6
1900-01-02T03:00:00Z,39.0,411.6
1900-01-02T06:00:00Z,22.0,411.6
1900-01-02T09:00:00Z,39.0,411.6
1900-01-02T12:00:00Z,12.0,411.6
1900-01-02T15:00:00Z,27.0,411.6
1900-01-02T18:00:00Z,18.0,411.6
1900-01-02T21:00:00Z,27.0,411.6
1900-01-03T00:00:00Z,39.0,437.5
1900-01-03T03:00:00Z,27.0,437.5
1900-01-03T06:00:00Z,400.0,437.5
1900-01-03T09:00:00Z,400.0,437.5
1900-01-03T12:00:00Z,400.0,437.5
1900-01-03T15:00:00Z,400.0,437.5
1900-01-03T18:00:00Z,400.0,437.5
1900-01-03T21:00:00Z,400.0,437.5
1900-01-04T00:00:00Z,400.0,437.5
1900-01-04T03:00:00Z,400.0,437.5
1900-01-04T06:00:00Z,400.0,437.5
1900-01-04T09:00:00Z,207.0,437.5
1900-01-04T12:00:00Z,179.0,437.5
1900-01-04T15:00:00Z,179.0,437.5
1900-01-04T18:00:00Z,300.0,437.5
1900-01-04T21:00:00Z,300.0,437.5
1900-01-05T00:00:00Z,300.0,407.1
1900-01-05T03:00:00Z,154.0,407.1
1900-01-05T06:00:00Z,56.0,407.1
1900-01-05T09:00:00Z,39.0,407.1
1900-01-05T12:00:00Z,48.0,407.1
1900-01-05T15:00:00Z,132.0,407.1
1900-01-05T18:00:00Z,400.0,407.1
1900-01-05T21:00:00Z,400.0,407.1
1900-01-06T00:00:00Z,236.0,373.4
1900-01-06T03:00:00Z,179.0,373.4
1900-01-06T06:00:00Z,154.0,373.4
1900-01-06T09:00:00Z,111.0,373.4
1900-01-06T12:00:00Z,154.0,373.4
1900-01-06T15:00:00Z,39.0,373.4
1900-01-06T18:00:00Z,27.0,373.4
1900-01-06T21:00:00Z,32.0,373.4
1900-01-07T00:00:00Z,48.0,315.6
1900-01-07T03:00:00Z,39.0,315.6
1900-01-07T06:00:00Z,27.0,315.6
1900-01-07T09:00:00Z,12.0,315.6
1900-01-07T12:00:00Z,15.0,315.6
1900-01-07T15:00:00Z,18.0,315.6
1900-01-07T18:00:00Z,18.0,315.6
1900-01-07T21:00:00Z,27.0,315.6
1900-01-08T00:00:00Z,18.0,285.6
1900-01-08T03:00:00Z,22.0,285.6
1900-01-08T06:00:00Z,18.0,285.6
1900-01-08T09:00:00Z,15.0,285.6
1900-01-08T12:00:00Z,12.0,285.6
1900-01-08T15:00:00Z,18.0,285.6
1900-01-08T18:00:00Z,32.0,285.6
1900-01-08T21:00:00Z,12.0,285.6
1900-01-09T00:00:00Z,18.0,250.4
1900-01-09T03:00:00Z,15.0,250.4
1900-01-09T06:00:00Z,12.0,250.4
1900-01-09T09:00:00Z,12.0,250.4
1900-01-09T12:00:00Z,7.0,250.4
1900-01-09T15:00:00Z,9.0,250.4
1900-01-09T18:00:00Z,12.0,250.4
1900-01-09T21:00:00Z,18.0,250.4
1900-01-10T00:00:00Z,15.0,841.3
1900-01-10T03:00:00Z,15.0,841.3
1900-01-10T06:00:00Z,94.0,841.3
1900-01-10T09:00:00Z,132.0,841.3
1900-01-10T12:00:00Z,12.0,841.3
1900-01-10T15:00:00Z,7.0,841.3
1900-01-10T18:00:00Z,18.0,841.3
1900-01-10T21:00:00Z,12.0,841.3
1900-01-11T00:00:00Z,6.0,171.0
1900-01-11T03:00:00Z,0.0,171.0
1900-01-11T06:00:00Z,5.0,171.0
1900-01-11T09:00:00Z,4.0,171.0
1900-01-11T12:00:00Z,3.0,171.0
1900-01-11T15:00:00Z,5.0,171.0
1900-01-11T18:00:00Z,9.0,171.0
1900-01-11T21:00:00Z,18.0,171.0
