t,ap,f107_sfu
1900-01-01T00:00:00Z,0.0,716.0
1900-01-01T03:00:00Z,2.0,716.0
1900-01-01T06:00:00Z,2.0,716.0
1900-01-01T09:00:00Z,0.0,716.0
1900-01-01T12:00:00Z,2.0,716.0
1900-01-01T15:00:00Z,3.0,716.0
1900-01-01T18:00:00Z,5.0,716.0
1900-01-01T21:00:00Z,5.0,716.0
1900-01-02T00:00:00Z,12.0,707.0
1900-01-02T03:00:00Z,4.0,707.0
1900-01-02T06:00:00Z,0.0,707.0
1900-01-02T09:00:00Z,0.0,707.0
1900-01-02T12:00:00Z,2.0,707.0
1900-01-02T15:00:00Z,3.0,707.0
1900-01-02T18:00:00Z,2.0,707.0
1900-01-02T21:00:00Z,6.0,707.0
1900-01-03T00:00:00Z,3.0,706.0
1900-01-03T03:00:00Z,7.0,706.0
1900-01-03T06:00:00Z,4.0,706.0
1900-01-03T09:00:00Z,4.0,706.0
1900-01-03T12:00:00Z,2.0,706.0
1900-01-03T15:00:00Z,2.0,706.0
1900-01-03T18:00:00Z,3.0,706.0
1900-01-03T21:00:00Z,4.0,706.0
1900-01-04T00:00:00Z,12.0,707.0
1900-01-04T03:00:00Z,7.0,707.0
1900-01-04T06:00:00Z,2.0,707.0
1900-01-04T09:00:00Z,3.0,707.0
1900-01-04T12:00:00Z,4.0,707.0
1900-01-04T15:00:00Z,6.0,707.0
1900-01-04T18:00:00Z,3.0,707.0
1900-01-04T21:00:00Z,6.0,707.0
1900-01-05T00:00:00Z,4.0,705.0
1900-01-05T03:00:00Z,0.0,705.0
1900-01-05T06:00:00Z,5.0,705.0
1900-01-05T09:00:00Z,5.0,705.0
1900-01-05T12:00:00Z,2.0,705.0
1900-01-05T15:00:00Z,0.0,705.0
1900-01-05T18:00:00Z,2.0,705.0
1900-01-05T21:00:00Z,6.0,705.0
1900-01-06T00:00:00Z,5.0,689.0
1900-01-06T03:00:00Z,7.0,689.0
1900-01-06T06:00:00Z,5.0,689.0
1900-01-06T09:00:00Z,2.0,689.0
1900-01-06T12:00:00Z,0.0,689.0
1900-01-06T15:00:00Z,2.0,689.0
1900-01-06T18:00:00Z,3.0,689.0
1900-01-06T21:00:00Z,0.0,689.0
