t,ap,f107_sfu
1900-01-01T00:00:00Z,4.0,340.6
1900-01-01T03:00:00Z,6.0,340.6
1900-01-01T06:00:00Z,6.0,340.6
1900-01-01T09:00:00Z,6.0,340.6
1900-01-01T12:00:00Z,6.0,340.6
1900-01-01T15:00:00Z,7.0,340.6
1900-01-01T18:00:00Z,3.0,340.6
1900-01-01T21:00:00Z,4.0,340.6
1900-01-02T00:00:00Z,3.0,349.8
1900-01-02T03:00:00Z,5.0,349.8
1900-01-02T06:00:00Z,3.0,349.8
1900-01-02T09:00:00Z,5.0,349.8
1900-01-02T12:00:00Z,4.0,349.8
1900-01-02T15:00:00Z,4.0,349.8
1900-01-02T18:00:00Z,9.0,349.8
1900-01-02T21:00:00Z,7.0,349.8
1900-01-03T00:00:00Z,12.0,335.1
1900-01-03T03:00:00Z,12.0,335.1
1900-01-03T06:00:00Z,9.0,335.1
1900-01-03T09:00:00Z,7.0,335.1
1900-01-03T12:00:00Z,22.0,335.1
1900-01-03T15:00:00Z,179.0,335.1
1900-01-03T18:00:00Z,300.0,335.1
1900-01-03T21:00:00Z,300.0,335.1
1900-01-04T00:00:00Z,400.0,320.5
1900-01-04T03:00:00Z,400.0,320.5
1900-01-04T06:00:00Z,400.0,320.5
1900-01-04T09:00:00Z,400.0,320.5
1900-01-04T12:00:00Z,400.0,320.5
1900-01-04T15:00:00Z,236.0,320.5
1900-01-04T18:00:00Z,236.0,320.5
1900-01-04T21:00:00Z,400.0,320.5
1900-01-05T00:00:00Z,300.0,320.5
1900-01-05T03:00:00Z,236.0,320.5
1900-01-05T06:00:00Z,179.0,320.5
1900-01-05T09:00:00Z,179.0,320.5
1900-01-05T12:00:00Z,94.0,332.7
1900-01-05T15:00:00Z,132.0,332.7
1900-01-05T18:00:00Z,22.0,332.7
1900-01-05T21:00:00Z,32.0,332.7
1900-01-06T00:00:00Z,7.0,332.7
1900-01-06T03:00:00Z,15.0,332.7
1900-01-06T06:00:00Z,27.0,332.7
1900-01-06T09:00:00Z,94.0,332.7
1900-01-06T12:00:00Z,56.0,323.1
1900-01-06T15:00:00Z,80.0,323.1
1900-01-06T18:00:00Z,18.0,323.1
1900-01-06T21:00:00Z,12.0,323.1
1900-01-07T00:00:00Z,18.0,323.1
1900-01-07T03:00:00Z,12.0,323.1
1900-01-07T06:00:00Z,9.0,323.1
1900-01-07T09:00:00Z,9.0,323.1
1900-01-07T12:00:00Z,5.0,329.7
1900-01-07T15:00:00Z,5.0,329.7
1900-01-07T18:00:00Z,5.0,329.7
1900-01-07T21:00:00Z,9.0,329.7
1900-01-08T00:00:00Z,9.0,329.7
1900-01-08T03:00:00Z,6.0,329.7
1900-01-08T06:00:00Z,7.0,329.7
1900-01-08T09:00:00Z,3.0,329.7
