t,alt_km,lat_deg,lon_deg,density_kg_m3
2024-01-01T00:15:00Z,490.0,0.00,0.00,6.021806e-12
2024-01-01T01:15:00Z,490.0,0.00,0.00,6.021806e-12
2024-01-01T02:15:00Z,490.0,0.00,0.00,2.684255e-12
2024-01-01T03:15:00Z,490.0,0.00,0.00,6.021806e-12
2024-01-01T04:15:00Z,490.0,0.00,0.00,6.021806e-12
2024-01-01T05:15:00Z,490.0,0.00,0.00,2.684255e-12
2024-01-01T06:15:00Z,490.0,0.00,0.00,6.021806e-12
2024-01-01T07:15:00Z,490.0,0.00,0.00,6.021806e-12
2024-01-01T08:15:00Z,490.0,0.00,0.00,2.684255e-12
2024-01-01T09:15:00Z,490.0,0.00,0.00,6.021806e-12
2024-01-01T10:15:00Z,490.0,0.00,0.00,6.021806e-12
2024-01-01T11:15:00Z,490.0,0.00,0.00,2.684255e-12
