# WARNING: SYNTHETIC PLACEHOLDER. NOT a real ground-magnetometer reconstruction.
# Shaped on the documented Gannon May 2024 phases (SSC ~2024-05-10T17:05Z,
# multi-pulse peak SME ~4000 nT through May 11, recovery May 12-13) so the
# import shim and downstream pipeline plumbing can be exercised end-to-end.
# Replace with the actual SuperMAG / INTERMAGNET reconstruction before any
# scientific output. SMU = +SME/2, SML = -SME/2 is an approximation only.
time,sme,smu,sml
2024-05-10T12:00:00Z,180,90,-90
2024-05-10T14:00:00Z,210,105,-105
2024-05-10T16:00:00Z,260,130,-130
2024-05-10T17:00:00Z,330,165,-165
2024-05-10T17:30:00Z,560,280,-280
2024-05-10T18:00:00Z,980,500,-480
2024-05-10T19:00:00Z,1700,860,-840
2024-05-10T20:00:00Z,2200,1110,-1090
2024-05-10T22:00:00Z,2750,1380,-1370
2024-05-11T00:00:00Z,3300,1650,-1650
2024-05-11T02:00:00Z,3650,1830,-1820
2024-05-11T04:00:00Z,3850,1930,-1920
2024-05-11T06:00:00Z,3980,1990,-1990
2024-05-11T08:00:00Z,4060,2030,-2030
2024-05-11T10:00:00Z,4100,2050,-2050
2024-05-11T12:00:00Z,4110,2055,-2055
2024-05-11T14:00:00Z,4080,2040,-2040
2024-05-11T16:00:00Z,4020,2010,-2010
2024-05-11T18:00:00Z,3940,1970,-1970
2024-05-11T20:00:00Z,3830,1915,-1915
2024-05-11T22:00:00Z,3700,1850,-1850
2024-05-12T00:00:00Z,3550,1775,-1775
2024-05-12T02:00:00Z,3380,1690,-1690
2024-05-12T04:00:00Z,3200,1600,-1600
2024-05-12T06:00:00Z,3000,1500,-1500
2024-05-12T08:00:00Z,2790,1395,-1395
2024-05-12T10:00:00Z,2580,1290,-1290
2024-05-12T12:00:00Z,2160,1080,-1080
2024-05-12T15:00:00Z,1590,795,-795
2024-05-12T18:00:00Z,1140,570,-570
2024-05-12T21:00:00Z,780,390,-390
2024-05-13T00:00:00Z,510,255,-255
2024-05-13T03:00:00Z,320,160,-160
2024-05-13T06:00:00Z,200,100,-100
2024-05-13T09:00:00Z,107,54,-53
2024-05-13T12:00:00Z,30,15,-15
