# OMNI 1-min, GSM, time-shifted to bow shock nose
# yr mo dy hr mn sc msec  Bx[nT] By[nT] Bz[nT]  Vx[km/s] Vy[km/s] Vz[km/s]  N[/cc] T[K]
#START
2022  2  3  0  0 00 000    2.640    8.870    3.020   -396.00     40.60     23.10   9.980     88701.0
2022  2  3  0  2 00 000    2.950    8.640    3.350   -392.90     33.40     20.10   8.600     63080.0
2022  2  3  0  3 00 000    2.870    8.800    3.180   -392.90     33.40     20.10   8.600     63080.0
2022  2  3  0  5 00 000    3.460    8.730    2.930   -388.80     25.80     16.30  10.000     69856.0
2022  2  3  0  6 00 000    3.960    8.820    1.340   -389.90     26.00     14.50   9.920     71495.0
2022  2  3  0  7 00 000    3.630    9.420    1.430   -395.00     29.40      4.00   9.800     75747.0
2022  2  3  0  8 00 000    4.930    8.950   -3.390   -388.00     33.90     10.60  10.340     60852.0
2022  2  3  0  9 00 000    2.370    9.610    0.770   -400.00     -8.80     -0.30   8.310     81937.0
2022  2  3  0 10 00 000   -2.260    7.700    7.060   -448.10    -37.80     31.90   4.870    110189.0
2022  2  3  0 11 00 000   -2.700    7.100    7.230   -441.70     -9.90     48.40   8.640    127063.0
2022  2  3  0 12 00 000   -0.190   10.930    5.580   -432.70    -20.20     41.60   7.500    154425.0
2022  2  3  0 13 00 000    1.220   11.290    4.710   -429.30    -35.10     33.40   5.190    171341.0
2022  2  3  0 14 00 000    1.680   11.550    4.450   -437.10    -37.80     25.80   4.260    144190.0
2022  2  3  0 15 00 000    1.800   11.550    4.290   -445.00    -36.60      8.60   4.280    130069.0
2022  2  3  0 16 00 000    1.160   11.450    4.160   -440.60    -38.50     13.00   4.220    138356.0
2022  2  3  0 17 00 000    0.440   11.000    2.530   -442.70    -37.70     14.30   5.070    170997.0
2022  2  3  0 18 00 000    0.840   10.340    2.880   -454.90    -32.70     17.10   5.090    153881.0
2022  2  3  0 19 00 000    0.410   11.170    4.050   -459.20    -31.10     24.50   4.390    146421.0
2022  2  3  0 20 00 000    3.640   11.460    1.960   -461.50    -35.40     29.60   4.440    147283.0
2022  2  3  0 22 00 000    2.610   12.760    2.280   -445.20    -19.70     32.30   3.460    130591.0
2022  2  3  0 23 00 000    3.310   12.720    2.540   -444.10    -20.20     29.60   3.280    116984.0
2022  2  3  0 24 00 000    3.470   12.890    2.200   -443.90    -19.20     18.50   2.780     90726.0
2022  2  3  0 25 00 000    2.020   12.150    3.320   -451.60    -15.60      9.90   2.990    118760.0
2022  2  3  0 26 00 000    1.140   12.270    3.000   -451.30    -31.40     21.50   4.240    152965.0
2022  2  3  0 27 00 000    0.660   12.230    3.150   -445.20    -26.70     22.70   3.830    140898.0
2022  2  3  0 28 00 000   -0.020   12.370    2.720   -442.10    -23.90     23.00   3.590    133810.0
2022  2  3  0 29 00 000    0.020   12.640    2.330   -450.10    -28.80      8.70   3.570    127907.0
2022  2  3  0 30 00 000    0.350   12.770    1.900   -451.70    -28.30      4.80   3.630    130235.0
2022  2  3  0 31 00 000    0.440   12.830    1.370   -453.70    -28.00      0.60   3.750    134224.0
2022  2  3  0 32 00 000    0.650   12.600    1.660   -453.40    -31.00      5.80   3.960    143608.0
2022  2  3  0 33 00 000    0.690   12.450    1.770   -454.20    -32.20      1.40   3.610    143125.0
2022  2  3  0 34 00 000    0.080   12.710    1.330   -457.50    -34.60      0.50   3.550    151774.0
2022  2  3  0 35 00 000   -0.310   12.890    1.590   -465.10    -36.50      3.60   3.440    151433.0
2022  2  3  0 36 00 000   -0.490   12.780    1.710   -466.20    -33.50      6.70   3.340    131661.0
2022  2  3  0 37 00 000    0.240   12.670    2.510   -465.00    -26.30     -1.30   3.280    139160.0
2022  2  3  0 38 00 000    0.550   12.920    2.480   -465.00    -26.30     -1.30   3.280    139160.0
2022  2  3  0 39 00 000    1.750   12.830    2.790   -456.20    -40.10     17.20   2.390     84038.0
2022  2  3  0 40 00 000    1.580   12.760    2.810   -456.20    -40.10     17.20   2.390     84038.0
2022  2  3  0 43 00 000    2.350   12.320    3.920   -437.30    -38.00     16.20   3.520    134214.0
2022  2  3  0 44 00 000    1.960   12.820    4.250   -437.50    -32.40     17.60   3.020    107881.0
2022  2  3  0 45 00 000    1.920   12.760    4.410   -437.80    -24.80     19.50   2.350     72219.0
2022  2  3  0 46 00 000    2.040   12.680    4.500   -433.50    -28.40     27.50   2.490     89025.0
2022  2  3  0 47 00 000    2.010   12.760    4.220   -433.50    -28.40     27.50   2.490     89025.0
2022  2  3  0 48 00 000    2.260   12.670    4.160   -435.80    -17.90     17.10   2.810     80116.0
2022  2  3  0 49 00 000    2.160   12.710    4.160   -435.80    -17.90     17.10   2.810     80116.0
2022  2  3  0 50 00 000    2.630   12.520    4.430   -435.80    -17.90     17.10   2.810     80116.0
2022  2  3  0 51 00 000    2.980   12.400    4.580   -422.70    -23.70     22.70   2.310     73310.0
2022  2  3  0 52 00 000    1.910   12.300    4.870   -427.60    -22.60     23.30   2.570     75857.0
2022  2  3  0 53 00 000    1.650   12.320    5.220   -432.40    -22.30     26.20   2.740     78008.0
2022  2  3  0 54 00 000    3.040   10.270    7.330   -434.10    -22.60     28.50   2.750     78709.0
2022  2  3  0 55 00 000    5.360    6.490   10.410   -445.10    -19.30      2.10   2.890    109175.0
2022  2  3  0 56 00 000    5.030    6.910    9.860   -445.10    -19.30      2.10   2.890    109175.0
2022  2  3  0 59 00 000    3.200   10.400    7.140   -448.90    -29.50      9.40   3.440    109124.0
2022  2  3  1  0 00 000    3.150   10.740    6.670   -448.90    -29.50      9.40   3.440    109124.0
2022  2  3  1  1 00 000    3.520   10.920    6.870   -451.00    -34.50     11.70   2.760    117127.0
2022  2  3  1  2 00 000    2.600   11.460    5.590   -454.00    -30.60     12.20   3.120    132474.0
2022  2  3  1  3 00 000    2.080   11.660    4.390   -455.80    -26.50     14.50   3.530    149602.0
2022  2  3  1  4 00 000    2.150   11.760    3.790   -443.80    -27.50     29.80   3.640    153497.0
2022  2  3  1  5 00 000    2.150   11.500    5.170   -443.80    -27.50     29.80   3.640    153497.0
2022  2  3  1  6 00 000    2.950   11.430    5.790   -449.40    -23.70     16.60   2.920    133367.0
2022  2  3  1  7 00 000    4.280    8.940    8.440   -451.60    -22.60     12.90   2.940    132632.0
2022  2  3  1  8 00 000    4.350    9.090    8.230   -463.80    -17.00     -6.10   3.070    130254.0
2022  2  3  1  9 00 000    4.180   10.030    7.180   -460.50    -27.10      0.90   3.250    142801.0
2022  2  3  1 10 00 000    3.760   10.570    5.860   -459.30    -27.20      6.50   3.240    156284.0
2022  2  3  1 12 00 000    4.380   10.610    5.510   -463.90    -46.90     -7.40   3.190    155637.0
2022  2  3  1 13 00 000    4.260   10.880    5.300   -463.90    -46.80     -7.40   3.190    155581.0
2022  2  3  1 14 00 000    4.640   10.980    5.070   -470.30    -22.20     -8.20   2.910    140287.0
2022  2  3  1 15 00 000    4.730   10.820    5.130   -469.80    -22.20     -8.90   2.920    138029.0
2022  2  3  1 16 00 000    5.740   10.140    5.460   -468.80    -23.80     -9.00   2.960    134406.0
2022  2  3  1 17 00 000    3.730   10.550    5.970   -467.30    -28.10     -7.60   2.960    129030.0
2022  2  3  1 18 00 000    2.710   10.900    6.220   -469.90    -23.80    -10.10   2.620    146604.0
2022  2  3  1 19 00 000    3.040   11.160    5.700   -469.90    -23.80    -10.10   2.620    146627.0
2022  2  3  1 20 00 000    2.840   11.090    5.360   -473.10    -22.70     -5.20   2.850    165232.0
2022  2  3  1 21 00 000    2.680   11.040    5.170   -473.10    -22.70     -5.20   2.850    165232.0
2022  2  3  1 24 00 000    1.470   10.880    5.520   -506.40    -25.10    -32.10   2.910    142840.0
2022  2  3  1 25 00 000    1.430   11.160    5.240   -506.40    -25.10    -32.10   2.910    142840.0
2022  2  3  1 27 00 000    1.240   11.500    5.250   -481.30    -30.10    -21.30   2.920    176614.0
2022  2  3  1 28 00 000    0.750   11.830    4.320   -479.70    -30.30    -18.90   2.960    172827.0
2022  2  3  1 29 00 000   -0.400   12.310    2.050   -469.90    -30.20     -2.10   3.210    145040.0
2022  2  3  1 30 00 000   -0.410   12.890    1.070   -475.60    -20.70     -1.20   2.990    134663.0
2022  2  3  1 31 00 000   -0.420   12.920    0.430   -479.50    -24.60     -6.30   2.580    134158.0
2022  2  3  1 32 00 000   -0.610   12.800   -0.720   -479.60    -24.70     -6.40   2.570    134157.0
2022  2  3  1 33 00 000   -0.790   12.950   -0.830   -472.20    -21.70      0.20   2.890    147761.0
2022  2  3  1 34 00 000   -0.720   12.970   -0.870   -472.20    -21.70      0.20   2.890    147761.0
2022  2  3  1 35 00 000   -1.310   12.520    1.260   -472.80    -19.80    -14.40   3.100    160461.0
2022  2  3  1 36 00 000   -1.480   12.290    2.950   -472.80    -19.80    -14.40   3.100    160461.0
2022  2  3  1 37 00 000   -1.920   10.970    5.830   -469.40    -28.40    -37.70   3.700    150827.0
2022  2  3  1 38 00 000   -1.300   11.270    5.290   -472.70    -38.70    -31.50   3.600    148568.0
2022  2  3  1 39 00 000   -0.560   11.480    5.000   -474.70    -38.40    -29.90   3.490    132520.0
2022  2  3  1 40 00 000   -0.230   11.560    4.860   -475.60    -28.20    -32.50   3.340    101700.0
2022  2  3  1 41 00 000   -0.680   11.600    4.670   -480.20    -33.20    -32.80   3.640    114098.0
2022  2  3  1 42 00 000   -0.520   11.680    4.760   -479.20    -33.20    -33.20   3.660    111686.0
2022  2  3  1 43 00 000   -0.600   11.670    5.550   -482.00    -35.90    -35.30   3.450     86186.0
2022  2  3  1 44 00 000   -0.690   12.220    4.950   -486.20    -37.80    -35.70   3.290     74850.0
2022  2  3  1 45 00 000   -0.590   12.240    4.970   -485.70    -42.90    -40.70   2.900     63903.0
2022  2  3  1 46 00 000   -0.330   12.850    1.860   -487.20    -40.60    -34.20   2.860     61585.0
2022  2  3  1 47 00 000   -0.520   12.900    1.890   -491.50    -33.90    -15.10   2.750     54741.0
2022  2  3  1 48 00 000   -0.460   12.810    0.710   -487.90    -50.50    -34.70   2.930     83084.0
2022  2  3  1 49 00 000   -0.190   12.790    0.190   -487.90    -50.70    -34.90   2.930     83363.0
2022  2  3  1 50 00 000    0.400   12.830   -0.840   -492.20    -35.50      4.40   2.360     80017.0
2022  2  3  1 51 00 000    0.820   12.450    0.510   -495.70    -29.20     -9.80   2.930    111129.0
2022  2  3  1 52 00 000    1.280   12.380    0.790   -501.20    -33.40    -27.10   2.960    122441.0
2022  2  3  1 53 00 000    1.150   12.350    0.730   -502.20    -35.50    -29.60   2.890    120722.0
2022  2  3  1 54 00 000    1.260   12.310    0.870   -501.20    -38.00    -33.30   3.080    150223.0
2022  2  3  1 55 00 000    0.860   12.370    1.330   -501.20    -38.00    -33.30   3.080    150223.0
2022  2  3  1 56 00 000    0.680   12.470    0.510   -496.00    -43.00    -36.90   3.250    144018.0
2022  2  3  1 57 00 000    0.930   12.290    1.590   -496.20    -43.30    -36.60   3.240    143516.0
2022  2  3  1 58 00 000    0.610   12.140    2.400   -499.50    -48.90    -29.70   3.120    132963.0
2022  2  3  1 59 00 000    0.500   12.280    1.510   -499.50    -48.90    -29.70   3.120    132963.0
2022  2  3  2  0 00 000    0.490   12.320    1.420   -498.50    -44.30    -33.70   3.120    132113.0
2022  2  3  2  1 00 000    0.740   12.340    0.930   -498.80    -43.00    -33.90   3.120    128222.0
