# SWMF/IE integrated quantities log
# generated by build_hindcast_fixture.py — synthetic Feb 2022 Starlink
step year mo dy hr mn sc cpcpn cpcps hpn hps fluxn fluxs
     0 2022  2  3  0  0  0   22.351   24.988    7.611    6.850    0.000    0.000
     1 2022  2  3  0  5  0   22.470   25.121    7.649    6.884    0.000    0.000
     2 2022  2  3  0 10  0   22.590   25.256    7.688    6.919    0.000    0.000
     3 2022  2  3  0 15  0   22.713   25.393    7.727    6.954    0.000    0.000
     4 2022  2  3  0 20  0   22.837   25.532    7.768    6.991    0.000    0.000
     5 2022  2  3  0 25  0   22.963   25.673    7.809    7.028    0.000    0.000
     6 2022  2  3  0 30  0   23.091   25.816    7.851    7.066    0.000    0.000
     7 2022  2  3  0 35  0   23.221   25.961    7.895    7.105    0.000    0.000
     8 2022  2  3  0 40  0   23.352   26.108    7.940    7.146    0.000    0.000
     9 2022  2  3  0 45  0   23.485   26.257    7.985    7.187    0.000    0.000
    10 2022  2  3  0 50  0   23.620   26.408    8.032    7.229    0.000    0.000
    11 2022  2  3  0 55  0   23.757   26.561    8.080    7.272    0.000    0.000
    12 2022  2  3  1  0  0   23.896   26.716    8.129    7.316    0.000    0.000
    13 2022  2  3  1  5  0   24.037   26.873    8.179    7.361    0.000    0.000
    14 2022  2  3  1 10  0   24.180   27.033    8.230    7.407    0.000    0.000
    15 2022  2  3  1 15  0   24.324   27.195    8.283    7.455    0.000    0.000
    16 2022  2  3  1 20  0   24.471   27.358    8.337    7.503    0.000    0.000
    17 2022  2  3  1 25  0   24.619   27.524    8.392    7.552    0.000    0.000
    18 2022  2  3  1 30  0   24.770   27.693    8.448    7.603    0.000    0.000
    19 2022  2  3  1 35  0   24.922   27.863    8.505    7.655    0.000    0.000
    20 2022  2  3  1 40  0   25.076   28.036    8.564    7.708    0.000    0.000
    21 2022  2  3  1 45  0   25.233   28.210    8.624    7.762    0.000    0.000
    22 2022  2  3  1 50  0   25.391   28.387    8.686    7.817    0.000    0.000
    23 2022  2  3  1 55  0   25.552   28.567    8.749    7.874    0.000    0.000
    24 2022  2  3  2  0  0   25.714   28.748    8.813    7.932    0.000    0.000
    25 2022  2  3  2  5  0   25.879   28.932    8.879    7.991    0.000    0.000
    26 2022  2  3  2 10  0   26.045   29.118    8.946    8.052    0.000    0.000
    27 2022  2  3  2 15  0   26.214   29.307    9.015    8.113    0.000    0.000
    28 2022  2  3  2 20  0   26.384   29.498    9.085    8.177    0.000    0.000
    29 2022  2  3  2 25  0   26.557   29.691    9.157    8.241    0.000    0.000
    30 2022  2  3  2 30  0   26.732   29.886    9.230    8.307    0.000    0.000
    31 2022  2  3  2 35  0   26.909   30.084    9.305    8.374    0.000    0.000
    32 2022  2  3  2 40  0   27.088   30.284    9.381    8.443    0.000    0.000
    33 2022  2  3  2 45  0   27.269   30.487    9.459    8.513    0.000    0.000
    34 2022  2  3  2 50  0   27.453   30.692    9.539    8.585    0.000    0.000
    35 2022  2  3  2 55  0   27.638   30.899    9.620    8.658    0.000    0.000
    36 2022  2  3  3  0  0   27.826   31.109    9.703    8.733    0.000    0.000
    37 2022  2  3  3  5  0   28.015   31.321    9.788    8.809    0.000    0.000
    38 2022  2  3  3 10  0   28.207   31.536    9.874    8.887    0.000    0.000
    39 2022  2  3  3 15  0   28.402   31.753    9.962    8.966    0.000    0.000
    40 2022  2  3  3 20  0   28.598   31.972   10.052    9.047    0.000    0.000
    41 2022  2  3  3 25  0   28.796   32.194   10.144    9.129    0.000    0.000
    42 2022  2  3  3 30  0   28.997   32.419   10.237    9.213    0.000    0.000
    43 2022  2  3  3 35  0   29.200   32.646   10.333    9.299    0.000    0.000
    44 2022  2  3  3 40  0   29.405   32.875   10.430    9.387    0.000    0.000
    45 2022  2  3  3 45  0   29.612   33.107   10.529    9.476    0.000    0.000
    46 2022  2  3  3 50  0   29.822   33.341   10.630    9.567    0.000    0.000
