# OMNI 1-min, GSM, time-shifted to bow shock nose
# yr mo dy hr mn sc msec  Bx[nT] By[nT] Bz[nT]  Vx[km/s] Vy[km/s] Vz[km/s]  N[/cc] T[K]
#START
2024  5 10 12  0 00 000   -0.250   -1.600   -3.100   -423.60     27.30     -8.30   3.020     59575.0
2024  5 10 12  4 00 000   -0.360   -1.270   -3.030   -425.20     19.50     -4.60   2.850     54341.0
2024  5 10 12  5 00 000   -0.750   -0.720   -2.520   -425.20     19.20     -6.40   2.990     58508.0
2024  5 10 12  6 00 000   -0.300   -1.870   -3.240   -425.30     17.40    -18.60   3.940     86811.0
2024  5 10 12  7 00 000   -0.020   -2.230   -3.480   -425.30     17.40    -18.60   3.940     86811.0
2024  5 10 12 13 00 000   -0.740   -1.420   -2.830   -429.90     23.10     -3.50   2.440     42872.0
2024  5 10 12 14 00 000   -1.170   -0.920   -2.580   -429.90     23.10     -3.50   2.440     42872.0
2024  5 10 12 15 00 000   -1.910   -0.170   -2.000   -429.90     23.10     -3.50   2.440     42872.0
2024  5 10 12 17 00 000   -0.080   -2.150   -3.420   -419.90     20.70     -7.50   3.020     57505.0
2024  5 10 12 18 00 000    0.260   -2.270   -3.260   -419.90     20.70     -7.50   3.020     57505.0
2024  5 10 12 19 00 000    0.160   -2.320   -3.340   -431.30     20.90    -14.80   2.300     41928.0
2024  5 10 12 20 00 000    0.310   -2.370   -3.250   -434.80     20.90    -17.00   2.070     37120.0
2024  5 10 12 21 00 000    0.020   -2.210   -3.430   -434.10     20.90    -15.90   2.090     37214.0
2024  5 10 12 22 00 000   -0.570   -1.810   -2.910   -430.20     20.90     -9.30   2.210     37752.0
2024  5 10 12 23 00 000   -0.720   -1.600   -2.810   -430.20     20.90     -9.30   2.210     37752.0
2024  5 10 12 24 00 000   -1.550   -1.010   -2.050   -431.50     25.40      1.60   2.850     55325.0
2024  5 10 12 25 00 000   -1.130   -0.460   -2.420   -428.50     19.80     -1.50   3.160     56813.0
2024  5 10 12 26 00 000   -1.690    0.170   -1.940   -422.80      9.00     -7.40   3.780     59799.0
2024  5 10 12 27 00 000   -1.150   -0.780   -2.490   -417.40     10.70     -3.50   3.190     90952.0
2024  5 10 12 28 00 000    0.100   -1.550   -2.870   -421.90     14.90     -4.70   2.870     57883.0
2024  5 10 12 29 00 000   -0.570   -1.270   -2.780   -414.60      7.10     -5.30   3.260     82056.0
2024  5 10 12 30 00 000   -0.890   -1.210   -2.970   -411.30      6.80      0.80   3.330     77567.0
