# OMNI 1-min, GSM, time-shifted to bow shock nose
# yr mo dy hr mn sc msec  Bx[nT] By[nT] Bz[nT]  Vx[km/s] Vy[km/s] Vz[km/s]  N[/cc] T[K]
#START
2015  3 16  0  2 00 000    2.150   -0.800    5.020   -309.70      1.10      9.00  20.380     43456.0
2015  3 16  0  3 00 000    3.460   -1.440    3.880   -304.00     -5.10      7.00  19.790     44798.0
2015  3 16  0  4 00 000    3.940   -2.410    3.810   -299.40     -1.60     10.40  17.980     44820.0
2015  3 16  0  5 00 000    3.920   -2.040    3.930   -297.90     -1.40     13.00  17.320     43555.0
2015  3 16  0  7 00 000    4.700   -2.210    2.970   -296.40      1.30     11.60  17.150     37994.0
2015  3 16  0  8 00 000    3.790   -2.380    3.530   -301.30      1.80     12.80  17.800     39894.0
2015  3 16  0  9 00 000    3.180   -2.340    4.130   -305.90      1.10     13.30  20.030     45357.0
2015  3 16  0 10 00 000    2.900   -1.730    4.700   -302.70     -1.50     11.40  22.640     49577.0
2015  3 16  0 11 00 000    2.690   -1.930    5.170   -310.80      3.40     10.20  19.250     40023.0
2015  3 16  0 12 00 000    3.530   -2.120    4.630   -309.90      1.70     11.10  18.980     40498.0
2015  3 16  0 13 00 000    2.560   -2.220    4.660   -307.80     -2.10     13.20  18.360     41584.0
2015  3 16  0 15 00 000    3.170   -2.380    5.170   -308.10     -0.80     14.20  19.670     41688.0
2015  3 16  0 16 00 000    3.710   -1.710    4.700   -308.10     -0.80     14.20  19.670     41688.0
2015  3 16  0 17 00 000    4.650   -3.130    4.860   -308.50     -1.10     14.40  19.930     41684.0
2015  3 16  0 18 00 000    2.990   -1.890    5.450   -313.70     -1.90     15.00  22.330     41688.0
2015  3 16  0 19 00 000    3.420   -5.840    1.270   -313.70     -4.70     16.80  21.600     41387.0
2015  3 16  0 20 00 000    3.170   -2.870    3.670   -312.60     -6.30     13.60  24.630     45795.0
2015  3 16  0 21 00 000    3.880   -2.950    2.520   -309.70     -0.40      9.40  21.860     48676.0
2015  3 16  0 22 00 000    3.990   -3.510    0.900   -301.20      3.70      7.90  19.770     48905.0
2015  3 16  0 23 00 000    2.260   -6.210   -3.900   -300.20      2.70     11.00  22.130     50629.0
2015  3 16  0 24 00 000    2.520   -4.470   -0.220   -318.60    -22.80     -0.70  25.440     50559.0
2015  3 16  0 25 00 000    3.660   -4.620    4.620   -313.80    -10.70     16.00  25.170     45534.0
2015  3 16  0 26 00 000    3.990   -6.280    3.890   -314.40     -4.20     27.90  25.040     40339.0
2015  3 16  0 27 00 000    3.760   -6.330    3.670   -314.80     -5.90     20.70  24.650     41892.0
2015  3 16  0 28 00 000    3.620   -5.170    4.780   -314.80     -9.20     24.00  23.380     37909.0
2015  3 16  0 29 00 000    2.830   -2.110    5.380   -311.70      4.80     12.20  19.830     42134.0
2015  3 16  0 30 00 000    2.860   -2.080    5.610   -311.60      1.40     19.70  21.410     42215.0
2015  3 16  0 31 00 000    4.510   -5.430    5.160   -311.60      4.20     14.80  21.340     43738.0
2015  3 16  0 32 00 000    3.870   -5.280    5.080   -314.50      2.20     14.60  23.000     42154.0
2015  3 16  0 33 00 000    4.020   -6.610    5.520   -319.20     -5.40     22.30  26.560     38359.0
2015  3 16  0 34 00 000    3.350   -5.160    4.750   -319.20     -5.40     22.30  26.560     38359.0
2015  3 16  0 35 00 000    3.890   -6.570    5.390   -318.20     -3.70     24.10  24.720     38237.0
2015  3 16  0 36 00 000    4.160   -6.230    6.280   -317.70     -3.80     26.40  25.140     36078.0
2015  3 16  0 37 00 000    3.230   -3.610    5.360   -317.30     -3.90     27.90  25.430     34616.0
2015  3 16  0 39 00 000    2.910   -0.210    1.570   -315.80     -4.10     25.30  25.130     34752.0
2015  3 16  0 40 00 000    4.650   -5.980    5.890   -320.50      8.60      8.30  30.020     44910.0
2015  3 16  0 41 00 000    3.660   -2.150    2.320   -323.10     15.50     -0.80  32.650     50356.0
2015  3 16  0 42 00 000    3.550   -2.150    2.700   -313.50     -3.70     24.80  24.240     32785.0
2015  3 16  0 43 00 000    3.560    0.240    0.260   -309.30     -2.90     17.60  22.210     38569.0
2015  3 16  0 44 00 000    4.030   -1.380    1.800   -305.60     -2.30     11.30  20.470     43551.0
2015  3 16  0 45 00 000    3.830    0.160    0.200   -313.20     -6.40     28.20  23.420     31810.0
2015  3 16  0 46 00 000    3.930   -1.720    2.880   -317.30     -0.20     18.60  26.480     37101.0
2015  3 16  0 47 00 000    4.100   -1.680    2.610   -325.50     12.10     -0.60  32.600     47621.0
2015  3 16  0 48 00 000    3.820    0.040    0.580   -313.10     -6.10     28.20  23.800     31313.0
2015  3 16  0 49 00 000    3.640   -1.480    1.910   -313.10     -6.10     28.20  23.800     31313.0
2015  3 16  0 50 00 000    4.160   -4.140    4.950   -315.80     -2.90     22.70  25.780     34066.0
2015  3 16  0 51 00 000    3.310   -2.710    3.980   -319.60      4.10     12.20  30.060     41526.0
2015  3 16  0 52 00 000    3.330   -2.880    3.240   -320.30     -0.60     15.50  29.960     41162.0
2015  3 16  0 53 00 000    3.390   -3.760    3.230   -324.60      7.00      7.30  31.920     44069.0
2015  3 16  0 54 00 000    3.130   -3.750    3.690   -322.30      2.80     13.30  31.800     45977.0
2015  3 16  0 55 00 000    2.440   -0.240   -0.890   -322.10      3.40     12.20  30.920     43882.0
2015  3 16  0 56 00 000    2.350    0.030    0.710   -325.90      8.40      6.10  32.170     45383.0
2015  3 16  0 57 00 000    2.660   -3.200    3.140   -325.20      3.60     10.40  34.980     48089.0
2015  3 16  0 58 00 000    1.820    3.350   -3.950   -327.40      9.20      5.30  31.810     47097.0
2015  3 16  0 59 00 000    2.140    1.570   -2.270   -328.40     11.80      2.90  30.290     46455.0
2015  3 16  1  0 00 000    2.050   -1.160   -1.660   -324.70     -2.40     12.10  33.740     43421.0
2015  3 16  1  1 00 000    2.490   -7.450    1.430   -324.50     -3.60     12.20  32.790     43032.0
2015  3 16  1  2 00 000    2.790    3.480    0.070   -318.10      9.00      9.40  31.690     45731.0
2015  3 16  1  3 00 000    5.130    5.670   -3.520   -313.40     19.80      7.20  31.920     48214.0
2015  3 16  1  6 00 000    5.350    3.960   -1.610   -322.80     14.40     -1.20  34.390     47908.0
2015  3 16  1  7 00 000    4.890    1.750   -0.460   -321.20     15.50     -0.00  35.370     46021.0
2015  3 16  1  8 00 000    3.280   -2.950   -0.530   -319.00      5.00     11.30  33.050     41182.0
2015  3 16  1  9 00 000    4.100   -2.990   -0.200   -322.20     -9.70     19.40  27.380     42390.0
2015  3 16  1 10 00 000    4.070    0.980   -1.040   -322.10     -3.20     14.90  28.720     51791.0
2015  3 16  1 11 00 000    3.320    0.320   -1.520   -319.60      9.60      8.40  33.720     48224.0
2015  3 16  1 12 00 000    3.410    1.800   -1.120   -317.30     21.10      2.50  38.230     45024.0
