# SWMF/IE integrated quantities log — synthetic_pass
step year mo dy hr mn sc cpcpn cpcps hpn hps
     0 2024  1  1  0  0  0   80.000   80.000   40.000   40.000
     1 2024  1  1  0  5  0   85.209   85.209   42.605   42.605
     2 2024  1  1  0 10  0   90.261   90.261   45.130   45.130
     3 2024  1  1  0 15  0   95.000   95.000   47.500   47.500
     4 2024  1  1  0 20  0   99.284   99.284   49.642   49.642
     5 2024  1  1  0 25  0  102.981  102.981   51.491   51.491
     6 2024  1  1  0 30  0  105.981  105.981   52.990   52.990
     7 2024  1  1  0 35  0  108.191  108.191   54.095   54.095
     8 2024  1  1  0 40  0  109.544  109.544   54.772   54.772
     9 2024  1  1  0 45  0  110.000  110.000   55.000   55.000
    10 2024  1  1  0 50  0  109.544  109.544   54.772   54.772
    11 2024  1  1  0 55  0  108.191  108.191   54.095   54.095
    12 2024  1  1  1  0  0  105.981  105.981   52.990   52.990
    13 2024  1  1  1  5  0  102.981  102.981   51.491   51.491
    14 2024  1  1  1 10  0   99.284   99.284   49.642   49.642
    15 2024  1  1  1 15  0   95.000   95.000   47.500   47.500
    16 2024  1  1  1 20  0   90.261   90.261   45.130   45.130
    17 2024  1  1  1 25  0   85.209   85.209   42.605   42.605
    18 2024  1  1  1 30  0   80.000   80.000   40.000   40.000
    19 2024  1  1  1 35  0   74.791   74.791   37.395   37.395
    20 2024  1  1  1 40  0   69.739   69.739   34.870   34.870
    21 2024  1  1  1 45  0   65.000   65.000   32.500   32.500
    22 2024  1  1  1 50  0   60.716   60.716   30.358   30.358
    23 2024  1  1  1 55  0   57.019   57.019   28.509   28.509
    24 2024  1  1  2  0  0   54.019   54.019   27.010   27.010
    25 2024  1  1  2  5  0   51.809   51.809   25.905   25.905
    26 2024  1  1  2 10  0   50.456   50.456   25.228   25.228
    27 2024  1  1  2 15  0   50.000   50.000   25.000   25.000
    28 2024  1  1  2 20  0   50.456   50.456   25.228   25.228
    29 2024  1  1  2 25  0   51.809   51.809   25.905   25.905
    30 2024  1  1  2 30  0   54.019   54.019   27.010   27.010
    31 2024  1  1  2 35  0   57.019   57.019   28.509   28.509
    32 2024  1  1  2 40  0   60.716   60.716   30.358   30.358
    33 2024  1  1  2 45  0   65.000   65.000   32.500   32.500
    34 2024  1  1  2 50  0   69.739   69.739   34.870   34.870
    35 2024  1  1  2 55  0   74.791   74.791   37.395   37.395
    36 2024  1  1  3  0  0   80.000   80.000   40.000   40.000
    37 2024  1  1  3  5  0   85.209   85.209   42.605   42.605
    38 2024  1  1  3 10  0   90.261   90.261   45.130   45.130
    39 2024  1  1  3 15  0   95.000   95.000   47.500   47.500
    40 2024  1  1  3 20  0   99.284   99.284   49.642   49.642
    41 2024  1  1  3 25  0  102.981  102.981   51.491   51.491
    42 2024  1  1  3 30  0  105.981  105.981   52.990   52.990
    43 2024  1  1  3 35  0  108.191  108.191   54.095   54.095
    44 2024  1  1  3 40  0  109.544  109.544   54.772   54.772
    45 2024  1  1  3 45  0  110.000  110.000   55.000   55.000
    46 2024  1  1  3 50  0  109.544  109.544   54.772   54.772
    47 2024  1  1  3 55  0  108.191  108.191   54.095   54.095
    48 2024  1  1  4  0  0  105.981  105.981   52.990   52.990
    49 2024  1  1  4  5  0  102.981  102.981   51.491   51.491
    50 2024  1  1  4 10  0   99.284   99.284   49.642   49.642
    51 2024  1  1  4 15  0   95.000   95.000   47.500   47.500
    52 2024  1  1  4 20  0   90.261   90.261   45.130   45.130
    53 2024  1  1  4 25  0   85.209   85.209   42.605   42.605
    54 2024  1  1  4 30  0   80.000   80.000   40.000   40.000
    55 2024  1  1  4 35  0   74.791   74.791   37.395   37.395
    56 2024  1  1  4 40  0   69.739   69.739   34.870   34.870
    57 2024  1  1  4 45  0   65.000   65.000   32.500   32.500
    58 2024  1  1  4 50  0   60.716   60.716   30.358   30.358
    59 2024  1  1  4 55  0   57.019   57.019   28.509   28.509
    60 2024  1  1  5  0  0   54.019   54.019   27.010   27.010
    61 2024  1  1  5  5  0   51.809   51.809   25.905   25.905
    62 2024  1  1  5 10  0   50.456   50.456   25.228   25.228
    63 2024  1  1  5 15  0   50.000   50.000   25.000   25.000
    64 2024  1  1  5 20  0   50.456   50.456   25.228   25.228
    65 2024  1  1  5 25  0   51.809   51.809   25.905   25.905
    66 2024  1  1  5 30  0   54.019   54.019   27.010   27.010
    67 2024  1  1  5 35  0   57.019   57.019   28.509   28.509
    68 2024  1  1  5 40  0   60.716   60.716   30.358   30.358
    69 2024  1  1  5 45  0   65.000   65.000   32.500   32.500
    70 2024  1  1  5 50  0   69.739   69.739   34.870   34.870
    71 2024  1  1  5 55  0   74.791   74.791   37.395   37.395
    72 2024  1  1  6  0  0   80.000   80.000   40.000   40.000
    73 2024  1  1  6  5  0   85.209   85.209   42.605   42.605
    74 2024  1  1  6 10  0   90.261   90.261   45.130   45.130
    75 2024  1  1  6 15  0   95.000   95.000   47.500   47.500
    76 2024  1  1  6 20  0   99.284   99.284   49.642   49.642
    77 2024  1  1  6 25  0  102.981  102.981   51.491   51.491
    78 2024  1  1  6 30  0  105.981  105.981   52.990   52.990
    79 2024  1  1  6 35  0  108.191  108.191   54.095   54.095
    80 2024  1  1  6 40  0  109.544  109.544   54.772   54.772
    81 2024  1  1  6 45  0  110.000  110.000   55.000   55.000
    82 2024  1  1  6 50  0  109.544  109.544   54.772   54.772
    83 2024  1  1  6 55  0  108.191  108.191   54.095   54.095
    84 2024  1  1  7  0  0  105.981  105.981   52.990   52.990
    85 2024  1  1  7  5  0  102.981  102.981   51.491   51.491
    86 2024  1  1  7 10  0   99.284   99.284   49.642   49.642
    87 2024  1  1  7 15  0   95.000   95.000   47.500   47.500
    88 2024  1  1  7 20  0   90.261   90.261   45.130   45.130
    89 2024  1  1  7 25  0   85.209   85.209   42.605   42.605
    90 2024  1  1  7 30  0   80.000   80.000   40.000   40.000
    91 2024  1  1  7 35  0   74.791   74.791   37.395   37.395
    92 2024  1  1  7 40  0   69.739   69.739   34.870   34.870
    93 2024  1  1  7 45  0   65.000   65.000   32.500   32.500
    94 2024  1  1  7 50  0   60.716   60.716   30.358   30.358
    95 2024  1  1  7 55  0   57.019   57.019   28.509   28.509
    96 2024  1  1  8  0  0   54.019   54.019   27.010   27.010
    97 2024  1  1  8  5  0   51.809   51.809   25.905   25.905
    98 2024  1  1  8 10  0   50.456   50.456   25.228   25.228
    99 2024  1  1  8 15  0   50.000   50.000   25.000   25.000
   100 2024  1  1  8 20  0   50.456   50.456   25.228   25.228
   101 2024  1  1  8 25  0   51.809   51.809   25.905   25.905
   102 2024  1  1  8 30  0   54.019   54.019   27.010   27.010
   103 2024  1  1  8 35  0   57.019   57.019   28.509   28.509
   104 2024  1  1  8 40  0   60.716   60.716   30.358   30.358
   105 2024  1  1  8 45  0   65.000   65.000   32.500   32.500
   106 2024  1  1  8 50  0   69.739   69.739   34.870   34.870
   107 2024  1  1  8 55  0   74.791   74.791   37.395   37.395
   108 2024  1  1  9  0  0   80.000   80.000   40.000   40.000
   109 2024  1  1  9  5  0   85.209   85.209   42.605   42.605
   110 2024  1  1  9 10  0   90.261   90.261   45.130   45.130
   111 2024  1  1  9 15  0   95.000   95.000   47.500   47.500
   112 2024  1  1  9 20  0   99.284   99.284   49.642   49.642
   113 2024  1  1  9 25  0  102.981  102.981   51.491   51.491
   114 2024  1  1  9 30  0  105.981  105.981   52.990   52.990
   115 2024  1  1  9 35  0  108.191  108.191   54.095   54.095
   116 2024  1  1  9 40  0  109.544  109.544   54.772   54.772
   117 2024  1  1  9 45  0  110.000  110.000   55.000   55.000
   118 2024  1  1  9 50  0  109.544  109.544   54.772   54.772
   119 2024  1  1  9 55  0  108.191  108.191   54.095   54.095
   120 2024  1  1 10  0  0  105.981  105.981   52.990   52.990
   121 2024  1  1 10  5  0  102.981  102.981   51.491   51.491
   122 2024  1  1 10 10  0   99.284   99.284   49.642   49.642
   123 2024  1  1 10 15  0   95.000   95.000   47.500   47.500
   124 2024  1  1 10 20  0   90.261   90.261   45.130   45.130
   125 2024  1  1 10 25  0   85.209   85.209   42.605   42.605
   126 2024  1  1 10 30  0   80.000   80.000   40.000   40.000
   127 2024  1  1 10 35  0   74.791   74.791   37.395   37.395
   128 2024  1  1 10 40  0   69.739   69.739   34.870   34.870
   129 2024  1  1 10 45  0   65.000   65.000   32.500   32.500
   130 2024  1  1 10 50  0   60.716   60.716   30.358   30.358
   131 2024  1  1 10 55  0   57.019   57.019   28.509   28.509
   132 2024  1  1 11  0  0   54.019   54.019   27.010   27.010
   133 2024  1  1 11  5  0   51.809   51.809   25.905   25.905
   134 2024  1  1 11 10  0   50.456   50.456   25.228   25.228
   135 2024  1  1 11 15  0   50.000   50.000   25.000   25.000
   136 2024  1  1 11 20  0   50.456   50.456   25.228   25.228
   137 2024  1  1 11 25  0   51.809   51.809   25.905   25.905
   138 2024  1  1 11 30  0   54.019   54.019   27.010   27.010
   139 2024  1  1 11 35  0   57.019   57.019   28.509   28.509
   140 2024  1  1 11 40  0   60.716   60.716   30.358   30.358
   141 2024  1  1 11 45  0   65.000   65.000   32.500   32.500
   142 2024  1  1 11 50  0   69.739   69.739   34.870   34.870
   143 2024  1  1 11 55  0   74.791   74.791   37.395   37.395
